"","Gene","log2FoldChange","padj"
"1","F1613_RS01910_C",2.97766133998862,0.000496236220153224
"2","F1613_RS00340_C",2.85782726265918,1.45567098939528e-13
"3","ffs_C",2.85517005196833,0.00417378796332416
"4","ssrA_C",2.71014818456371,0.00460571477144738
"5","F1613_RS11740_C",2.58610577202546,0.00447128462951575
"6","F1613_RS02965_C",2.5748575080764,2.36339297666189e-13
"7","F1613_RS00345_C",2.54375528006943,5.14653290010866e-11
"8","F1613_RS03065_C",2.33447851100826,1.89729115142688e-11
"9","F1613_RS10310_C",2.04688385635109,0.00460571477144738
"10","F1613_RS11750_C",1.97260565765811,0.0111213896877862
"11","F1613_RS10525_C",1.87137963077258,0.0202412590300889
"12","rnpB_C",1.65788478412448,0.0113808357481265
"13","F1613_RS01170_C",1.61893539137074,0.0118493529459826
"14","F1613_RS10410_C",1.60732811081367,0.0173095168261476
"15","F1613_RS01255_C",1.53490514073273,1.75953926766224e-09
"16","F1613_RS01645_C",1.50770105440582,0.000172337557040656
"17","gehC_C",-1.50180627121829,5.14653290010866e-11
"18","F1613_RS02665_C",-1.5445823433054,0.00186889205863511
"19","F1613_RS03775_C",-1.55592302296533,0.000793461940281359
"20","F1613_RS10140_C",-1.56533549483789,0.000492073197764699
"21","F1613_RS00920_C",-1.57576943134362,1.75471214540696e-07
"22","F1613_RS06505_C",-1.58183070516342,3.82517047901121e-05
"23","F1613_RS01060_C",-1.64213474515121,0.00580523031288965
"24","F1613_RS01745_C",-1.65862817195067,0.000752386128591582
"25","F1613_RS00050_C",-1.68685417848841,0.000617142122001534
"26","F1613_RS03325_C",-1.72070900288697,0.00457069845730266
"27","F1613_RS11815_C",-1.78281831972607,7.42593078234442e-08
"28","adhP_C",-1.81268925637442,4.03448069699856e-06
"29","F1613_RS03505_C",-1.84991515255124,0.00723133657528733
"30","F1613_RS08165_C",-1.87599912712053,9.7642727526145e-09
"31","F1613_RS03435_C",-1.89021690381428,7.23146486867633e-07
"32","F1613_RS05590_C",-1.89540245180641,7.09608089968752e-17
"33","lacD_C",-1.90727536175416,7.44393686934266e-07
"34","pflA_C",-1.91093261557939,0.0025317490798276
"35","rbsU_C",-1.93413039109234,2.43478739496236e-07
"36","F1613_RS10135_C",-1.9976868585111,7.62630658494744e-06
"37","ptsG_C",-2.03936043168878,5.12269007656586e-11
"38","rbsD_C",-2.03986959147082,1.93065010079118e-08
"39","F1613_RS07025_C",-2.05124753290093,1.09219296360003e-16
"40","F1613_RS00870_C",-2.06348660970491,3.74617044279962e-08
"41","lacB_C",-2.13432035564482,8.56627061805212e-09
"42","F1613_RS05685_C",-2.16934703286387,0.000552863944131706
"43","F1613_RS11920_C",-2.19881251719224,2.86744275996255e-09
"44","F1613_RS00520_C",-2.20813457859136,0.000737222900981438
"45","F1613_RS12690_C",-2.23665425878147,1.74178339127234e-05
"46","sdaAB_C",-2.2603908344913,0.000197005232844446
"47","F1613_RS12520_C",-2.26795295511162,2.09290580346615e-07
"48","F1613_RS06210_C",-2.2746660630564,3.48660351327125e-07
"49","F1613_RS07835_C",-2.43825943362212,4.76852996959506e-09
"50","raiA_C",-2.53950170554641,7.04391923782985e-11
"51","lacA_C",-2.5437897962517,2.36339297666189e-13
"52","F1613_RS06500_C",-2.68045335913003,1.56513206092478e-08
"53","pflB_C",-2.70957395828037,0.000795313365252587
"54","F1613_RS09950_C",-2.71626003921656,6.05709651234367e-14
"55","F1613_RS07845_C",-2.76197078515054,9.77491062017321e-11
"56","F1613_RS05160_C",-2.81960333098263,1.89729115142688e-11
"57","F1613_RS03360_C",-2.92345940447357,4.76852996959506e-09
"58","F1613_RS06465_C",-3.18207577823267,5.14653290010866e-11
"59","F1613_RS05750_C",-3.2434109697345,2.99100362032133e-09
"60","F1613_RS05150_C",-3.85684441320803,4.13591136737982e-08
"61","pfkB_C",-4.09183350119466,1.35329349848622e-13
