"","Gene","log2FoldChange","padj"
"1","F1613_RS03760_C",2.63208171743422,2.7178713629483e-45
"2","betB_C",2.1625895085123,2.09803324507977e-23
"3","betA_C",2.05744280488432,5.08225819699527e-33
"4","F1613_RS03755_C",2.00724308405502,3.20551513866143e-13
"5","rpsN_C",1.81085494754596,2.05315262322447e-17
"6","F1613_RS06020_C",1.79617779298614,2.06811562910094e-26
"7","F1613_RS00615_C",1.74692558184313,1.50767236973924e-10
"8","F1613_RS02245_C",1.69923480606233,7.88190969185988e-24
"9","F1613_RS03765_C",1.5805543654668,9.30640951669674e-38
"10","F1613_RS01245_C",1.56824816285695,4.22685626576165e-15
"11","F1613_RS11610_C",-1.5334336736229,7.83393372971154e-18
"12","F1613_RS08900_C",-1.56381188133824,1.5212610086584e-06
"13","F1613_RS11615_C",-1.58245926444605,1.25174268653888e-12
"14","F1613_RS00175_C",-1.67039003355411,1.11701462979536e-06
"15","F1613_RS02320_C",-1.82474470464816,1.51294818681591e-10
"16","F1613_RS00600_C",-1.96989949098807,1.12190072349818e-19
"17","F1613_RS02385_C",-2.01330662312508,0.00265350253785737
"18","F1613_RS01535_C",-2.03486325140929,5.02454682028449e-14
"19","F1613_RS00605_C",-2.12360772685545,2.21225771962334e-29
"20","F1613_RS05190_C",-2.15692454298508,1.62462352317283e-75
"21","purB_C",-2.19081791636548,3.63074372532004e-31
"22","F1613_RS12125_C",-2.21454246315478,3.76671415715741e-41
"23","gcvPB_C",-2.26202560792666,1.35919749769983e-37
"24","F1613_RS05205_C",-2.33783691906079,3.7041937448121e-24
"25","saeR_C",-2.34058811373322,1.58199264704584e-82
"26","F1613_RS00610_C",-2.3429935753961,2.44518039637155e-20
"27","gcvPA_C",-2.4107190505054,3.52974464034193e-44
"28","gcvT_C",-2.4318930363781,3.2360333053004e-45
"29","F1613_RS05200_C",-2.47833157061311,4.02645350314323e-76
"30","F1613_RS02485_C",-2.53272007569765,3.01375100270012e-55
"31","folD_C",-2.72259418226027,2.61321896057627e-131
"32","F1613_RS09810_C",-3.41023218648821,1.73917441584172e-88
"33","purD_C",-3.8402488095403,3.39903091724172e-133
"34","purE_C",-4.51720158821484,8.57160821962792e-66
"35","purF_C",-4.85312931859962,2.14491936931806e-100
"36","purH_C",-4.8582316437789,6.0477922830733e-220
"37","purM_C",-4.88650875457019,2.46790881974387e-141
"38","purK_C",-4.97073960712423,0
"39","purN_C",-4.97947266457081,1.7118006361611e-120
"40","F1613_RS06645_C",-5.10189174152459,1.40220752692038e-221
"41","purL_C",-5.12557617836162,6.3127405592867e-298
"42","purQ_C",-5.39430560270654,1.9427791879894e-220
"43","purS_C",-5.63129895536546,2.91820607452042e-210
