"","Gene","log2FoldChange","padj"
"1","F1613_RS11280_C",3.15910430439727,1.25019590489156e-40
"2","F1613_RS10325_C",2.90316980110003,1.74422549594309e-59
"3","F1613_RS02000_C",2.77819832072925,2.79601820147041e-15
"4","F1613_RS03760_C",2.72924566629545,8.63912005768032e-42
"5","F1613_RS06485_C",2.67131664833456,5.27287537845983e-31
"6","F1613_RS10585_C",2.56760586887155,4.41130406576577e-94
"7","F1613_RS10345_C",2.56396692534945,2.69179116017545e-25
"8","queC_C",2.51169421611631,3.85287504193531e-08
"9","F1613_RS02255_C",2.31401879558769,2.00299076614241e-69
"10","betB_C",2.30989200354943,1.03822044870599e-104
"11","betA_C",2.23700605741089,3.83755519872112e-129
"12","queE_C",2.18921154028997,3.34993270316538e-06
"13","F1613_RS10560_C",2.180952429177,3.66212779819015e-39
"14","F1613_RS01990_C",2.14066701364089,3.84485665109568e-37
"15","F1613_RS01995_C",2.11817093806948,5.77735030529054e-44
"16","F1613_RS10340_C",2.11357865915976,8.622905188358e-33
"17","queD_C",2.10076426106315,6.46750520069815e-06
"18","F1613_RS10580_C",2.05178762353123,1.43958378740266e-94
"19","F1613_RS10330_C",2.01673407780109,3.53663777090703e-27
"20","rpsN_C",1.97358484983063,9.75279791082922e-51
"21","F1613_RS10565_C",1.95912473124695,5.79826484795653e-113
"22","F1613_RS10595_C",1.95576668899025,4.9330428964951e-51
"23","F1613_RS02245_C",1.8522924899322,1.94103734489134e-48
"24","vraX_C",1.84810345604626,2.07976756200994e-11
"25","F1613_RS03755_C",1.84079861421934,3.52443316643043e-18
"26","F1613_RS06020_C",1.83288817062684,2.69617699460901e-42
"27","F1613_RS10535_C",1.7999412902599,7.66458476477812e-14
"28","F1613_RS03750_C",1.79197711515434,5.08961641505123e-11
"29","F1613_RS12655_C",1.78223773050899,6.49535440467275e-08
"30","F1613_RS10625_C",1.76632086778277,1.5287734023242e-42
"31","F1613_RS06320_C",1.7482533200617,2.80688699737374e-05
"32","F1613_RS00340_C",1.73971729402807,2.12716096460897e-70
"33","F1613_RS00615_C",1.67354830546475,5.74405458041991e-13
"34","F1613_RS02860_C",1.66903868555221,6.05956368044005e-12
"35","F1613_RS01985_C",1.66428499263092,3.79955612095171e-47
"36","F1613_RS01975_C",1.662422659863,2.90091650792646e-06
"37","F1613_RS10570_C",1.66073045501253,1.44118563870478e-61
"38","F1613_RS01980_C",1.66001915105578,1.44245792835082e-52
"39","F1613_RS10610_C",1.64340207463827,7.45013078231189e-31
"40","F1613_RS10620_C",1.64168887850617,8.5211662027098e-20
"41","F1613_RS01245_C",1.63206954924277,2.13375742840323e-18
"42","F1613_RS12600_C",1.56755962344247,6.28150147559502e-14
"43","F1613_RS10545_C",1.56066682293501,5.02090334767108e-22
"44","F1613_RS10605_C",1.56003435665704,1.93152469705799e-23
"45","F1613_RS08435_C",1.55493319979689,1.07670154764229e-46
"46","F1613_RS10635_C",1.54486072678584,1.94423419856431e-17
"47","F1613_RS01155_C",1.54049617129288,9.32888753164552e-66
"48","F1613_RS03765_C",1.52672377203195,3.09587140420547e-83
"49","F1613_RS01910_C",1.52266518407566,1.4628530512673e-10
"50","F1613_RS10590_C",1.50895849141427,1.40698848159187e-26
"51","F1613_RS10140_C",-1.51209242978529,3.97718074513845e-22
"52","F1613_RS11655_C",-1.5189436699426,7.68304350199097e-19
"53","F1613_RS06155_C",-1.52014336077515,0.0160429885209937
"54","F1613_RS12745_C",-1.52626617393317,2.60888102999715e-06
"55","F1613_RS02950_C",-1.52847974372068,1.16246173105419e-56
"56","F1613_RS11610_C",-1.53653873986755,2.92413659705253e-66
"57","F1613_RS02955_C",-1.54674581967672,1.05021281677596e-49
"58","F1613_RS10500_C",-1.54775694101823,8.25220848662352e-19
"59","F1613_RS01535_C",-1.55653674614009,1.30676656162319e-24
"60","F1613_RS00120_C",-1.55843208722653,1.48364219575295e-14
"61","F1613_RS11065_C",-1.56390472019222,6.81841506345948e-42
"62","F1613_RS02755_C",-1.58332225083804,4.84291749003719e-48
"63","F1613_RS12640_C",-1.58789639816466,5.28877428982092e-10
"64","F1613_RS11575_C",-1.59554355301573,7.88693317006522e-94
"65","F1613_RS03325_C",-1.60032710113374,0.00184556098440294
"66","qoxD_C",-1.62043210536698,6.60532785631364e-57
"67","pmtA_C",-1.64016402826693,9.44530980011529e-46
"68","F1613_RS00600_C",-1.64690318726554,1.1234461604729e-94
"69","F1613_RS11685_C",-1.64797991000186,5.77320346564684e-35
"70","F1613_RS12760_C",-1.66667857575577,8.0346430936045e-27
"71","F1613_RS12550_C",-1.66668992392292,7.33121859234923e-12
"72","F1613_RS00730_C",-1.66948907272065,2.34458256155313e-74
"73","F1613_RS07060_C",-1.74170984801961,4.3462576382688e-52
"74","F1613_RS12520_C",-1.74363190704023,6.47051225925784e-09
"75","F1613_RS04750_C",-1.74794981561878,0.00013064036640327
"76","F1613_RS12365_P",-1.77498657317164,7.18762692433273e-59
"77","F1613_RS05680_C",-1.78954288338447,3.15603507657258e-05
"78","F1613_RS05780_C",-1.80175809992699,1.54810990353301e-32
"79","F1613_RS11005_C",-1.81414491994507,1.74618249820571e-16
"80","F1613_RS10155_C",-1.82409126786901,0.00957689376041241
"81","F1613_RS05745_C",-1.8401466005664,8.45240055578125e-19
"82","F1613_RS00605_C",-1.84916743703317,8.13836706389374e-88
"83","F1613_RS07065_C",-1.85529213866939,2.99973073993584e-12
"84","F1613_RS00175_C",-1.86952878654947,8.01778864579086e-35
"85","pdxS_C",-1.92011113837357,3.77411520717337e-111
"86","F1613_RS01380_C",-1.96679567511046,0.00045019632628128
"87","pmtD_C",-1.97863590039948,9.97986594023956e-26
"88","mspA_C",-1.98211007292452,5.40661579019734e-08
"89","F1613_RS09985_C",-2.0285739524178,3.59206157516452e-30
"90","pdxT_C",-2.04946729616361,1.78350237190564e-118
"91","F1613_RS07070_C",-2.05651363110242,6.17724355311565e-44
"92","F1613_RS10215_C",-2.05668250625096,6.44596436697254e-05
"93","F1613_RS02400_C",-2.0598085844223,2.44073294527657e-133
"94","F1613_RS10135_C",-2.08060998680832,3.79614449205434e-41
"95","F1613_RS12125_C",-2.10200765967805,3.11484722004349e-195
"96","F1613_RS01040_C",-2.10325161121634,0.00642556789101594
"97","F1613_RS05760_C",-2.10722044571116,1.67008346594229e-41
"98","F1613_RS05685_C",-2.13258402562281,4.68065258966938e-06
"99","F1613_RS07075_C",-2.16434089736971,3.11665167693487e-60
"100","F1613_RS00610_C",-2.18669767649913,8.53920475387776e-142
"101","F1613_RS02665_C",-2.22919996832757,1.19996067517845e-05
"102","purB_C",-2.24894045899847,3.57920333883006e-303
"103","graF_C",-2.27895473921751,3.95279247450752e-18
"104","F1613_RS01930_C",-2.2902286552383,7.41054770916052e-16
"105","F1613_RS03855_C",-2.29483644423436,1.47813109023001e-11
"106","F1613_RS02485_C",-2.32866598952946,2.6774516477719e-105
"107","F1613_RS02390_C",-2.35009458447949,7.31195235911767e-45
"108","gcvPB_C",-2.36469016395007,1.93607808223781e-164
"109","gcvT_C",-2.40099986327796,2.59482815815031e-152
"110","F1613_RS05190_C",-2.4922481246638,1.8574996595614e-92
"111","F1613_RS12405_P",-2.49404104518248,6.52083710211616e-08
"112","F1613_RS09865_C",-2.59054953493079,2.32247046855269e-38
"113","saeR_C",-2.60957013964902,1.58956003284273e-89
"114","gcvPA_C",-2.62627495147111,1.08810957760036e-115
"115","F1613_RS11015_C",-2.76589808259689,6.3559451000457e-12
"116","F1613_RS08900_C",-2.78648128170935,1.22963920926362e-86
"117","F1613_RS05205_C",-2.80681203242115,1.65633392249206e-200
"118","F1613_RS05200_C",-2.80695969456292,2.42589726981403e-109
"119","folD_C",-2.84427764711124,1.64134999078389e-237
"120","hld_C",-2.91847083700655,4.85077270316997e-27
"121","F1613_RS04980_C",-2.97111831524964,2.1255093338948e-19
"122","F1613_RS03360_C",-3.00531501054004,3.43587192742402e-24
"123","pmtB_C",-3.03973211564044,1.19465399808691e-47
"124","F1613_RS09810_C",-3.51676964555297,0
"125","F1613_RS12420_P",-3.55780897595324,5.13418791682911e-196
"126","F1613_RS02385_C",-3.81626393489594,8.0381844956864e-50
"127","purD_C",-3.81752010597371,0
"128","F1613_RS05750_C",-3.85081555959191,1.61907177755616e-61
"129","purE_C",-4.1376641949799,0
"130","purH_C",-4.85491667117733,0
"131","purF_C",-4.85849414583135,3.9919162011259e-279
"132","purN_C",-4.86640468809313,3.74554379959873e-263
"133","purM_C",-4.9754580791415,0
"134","purK_C",-4.98193615402525,0
"135","purL_C",-5.12793694755928,0
"136","F1613_RS06645_C",-5.27491823827524,0
"137","purQ_C",-5.41319891562929,0
"138","purS_C",-5.69165311846698,3.24150878886948e-286
