"","Gene","log2FoldChange","padj"
"1","clpB_C",6.15363498560266,6.64376113618874e-17
"2","F1613_RS11905_C",5.93847685046774,2.24266037541064e-33
"3","lacG_C",5.78806454994583,2.53892197388503e-41
"4","lacD_C",5.78546236195101,1.37886910263079e-26
"5","F1613_RS11910_C",5.77466066121224,8.75480120097923e-29
"6","F1613_RS04230_C",5.73035389668597,4.24006520258457e-20
"7","F1613_RS04225_C",5.62602895970791,9.87169350559127e-20
"8","F1613_RS04220_C",5.50027713600393,3.79172729521077e-20
"9","F1613_RS11920_C",5.49286345985006,2.16911669695082e-27
"10","vraX_C",5.4232613133983,3.71866720075089e-10
"11","F1613_RS04215_C",5.3758596065998,5.01918369610576e-22
"12","lacB_C",5.19798539148599,3.63817583968308e-25
"13","F1613_RS03870_C",5.00068835922694,3.67297861174957e-08
"14","F1613_RS06745_C",4.99023800599031,2.61734891469578e-31
"15","F1613_RS06750_C",4.97101382862036,4.11313443259143e-28
"16","F1613_RS01555_C",4.90221735270246,1.29492384659489e-23
"17","F1613_RS12445_P",4.77037652480511,1.66970907474019e-13
"18","lacA_C",4.59658591937537,1.21939119331171e-20
"19","F1613_RS01550_C",4.4875194636405,5.53598349867692e-18
"20","F1613_RS03780_C",4.42691847797382,4.73739055033957e-21
"21","F1613_RS01545_C",4.37081316445019,9.12536456616838e-17
"22","nrdG_C",4.2989270593342,4.31523835046845e-20
"23","nrdD_C",4.23155555839748,4.82275240096158e-20
"24","blaZ_C",4.18726780082538,9.08373659425308e-13
"25","F1613_RS12480_P",4.17018156043068,1.14653603302134e-07
"26","F1613_RS01370_C",4.16506248007469,1.37886910263079e-26
"27","F1613_RS04110_C",4.01166734278817,1.32228531840598e-19
"28","F1613_RS03775_C",3.91651332004668,5.04365060565704e-15
"29","dnaK_C",3.91290897279563,5.28544421839324e-15
"30","F1613_RS12660_C",3.90752528774261,6.01625394812689e-21
"31","hrcA_C",3.82734947509345,1.34656861082359e-15
"32","ilvC_C",3.82102167837985,5.98353722965339e-31
"33","F1613_RS11080_C",3.79409062709751,3.49742179783277e-17
"34","F1613_RS03185_C",3.7869178857012,1.49666697601012e-07
"35","grpE_C",3.7670458858783,8.23060448992483e-14
"36","F1613_RS05160_C",3.72079013454027,3.85068401271881e-06
"37","F1613_RS03785_C",3.7193221333842,2.26009232311773e-12
"38","F1613_RS11220_C",3.60036244432118,2.71336493165213e-10
"39","F1613_RS09455_C",3.59315966340915,1.98765487015513e-05
"40","F1613_RS04060_C",3.55070761444517,0.00351928106808512
