NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SEP00190	SEP00190	Details ...	24	-0.66623884	-2.0329332	0.0	0.0018046154	0.002	482	tags=71%, list=21%, signal=89%	
SEP00020	SEP00020	Details ...	28	-0.63033265	-2.0236974	0.0	9.023077E-4	0.002	555	tags=64%, list=25%, signal=84%	
SEP00650	SEP00650	Details ...	19	-0.66348064	-1.9620633	0.0	0.0022093982	0.007	341	tags=47%, list=15%, signal=55%	
SEP00785	SEP00785	Details ...	21	-0.5857392	-1.736399	0.0097402595	0.028711488	0.107	589	tags=67%, list=26%, signal=89%	
SEP00220	SEP00220	Details ...	20	-0.5727997	-1.6751174	0.011345219	0.04523392	0.2	688	tags=60%, list=31%, signal=86%	
SEP00640	SEP00640	Details ...	24	-0.53167635	-1.6388595	0.006644518	0.04975014	0.255	642	tags=67%, list=29%, signal=92%	
SEP00561	SEP00561	Details ...	19	-0.528027	-1.5161486	0.028239202	0.111662485	0.55	383	tags=37%, list=17%, signal=44%	
SEP00620	SEP00620	Details ...	47	-0.42309806	-1.5056442	0.023916293	0.10421306	0.569	555	tags=40%, list=25%, signal=53%	
SEP00860	SEP00860	Details ...	16	-0.52345985	-1.4456508	0.06320908	0.14242794	0.742	815	tags=56%, list=36%, signal=88%	
SEP00270	SEP00270	Details ...	24	-0.43920377	-1.3536451	0.11254019	0.22523883	0.9	446	tags=46%, list=20%, signal=57%	
SEP00010	SEP00010	Details ...	37	-0.39547032	-1.345266	0.10509554	0.21386048	0.91	683	tags=57%, list=30%, signal=80%	
SEP00250	SEP00250	Details ...	19	-0.44383073	-1.287476	0.14261745	0.26948437	0.972	106	tags=21%, list=5%, signal=22%	
SEP02024	SEP02024	Details ...	49	-0.34721345	-1.24071	0.15100154	0.31213352	0.99	508	tags=35%, list=23%, signal=44%	
SEP00400	SEP00400	Details ...	18	-0.43147334	-1.2309262	0.19520548	0.30457938	0.991	337	tags=39%, list=15%, signal=45%	
SEP00630	SEP00630	Details ...	23	-0.4067015	-1.228003	0.20447284	0.28762773	0.992	635	tags=48%, list=28%, signal=66%	
SEP02020	SEP02020	Details ...	65	-0.31172064	-1.1733528	0.21230769	0.34652963	0.996	663	tags=45%, list=29%, signal=61%	
SEP00770	SEP00770	Details ...	18	-0.35630986	-1.0334152	0.39333335	0.55932117	1.0	463	tags=33%, list=21%, signal=42%	
SEP00260	SEP00260	Details ...	30	-0.30085817	-0.96277606	0.50641024	0.6578622	1.0	674	tags=53%, list=30%, signal=75%	
SEP00564	SEP00564	Details ...	17	-0.3337309	-0.93066853	0.55592656	0.68351865	1.0	303	tags=18%, list=13%, signal=20%	
SEP03440	SEP03440	Details ...	20	-0.23298754	-0.67043823	0.9165217	1.0	1.0	722	tags=40%, list=32%, signal=58%	
SEP00061	SEP00061		15	-0.24754931	-0.6665827	0.8814433	1.0	1.0	189	tags=13%, list=8%, signal=14%	
SEP00030	SEP00030		21	-0.21018969	-0.6289446	0.9359606	0.9924667	1.0	925	tags=57%, list=41%, signal=96%	
SEP03430	SEP03430		17	-0.22021462	-0.6272004	0.92396694	0.95040417	1.0	666	tags=35%, list=30%, signal=50%	
