NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SEP03060	SEP03060	Details ...	17	0.4763444	1.436685	0.061611373	0.79993117	0.557	561	tags=41%, list=25%, signal=54%	
SEP00730	SEP00730	Details ...	16	0.45684877	1.3880486	0.08591885	0.52428573	0.652	221	tags=19%, list=10%, signal=21%	
SEP00240	SEP00240	Details ...	26	0.39764544	1.3703576	0.069518715	0.38393074	0.683	615	tags=50%, list=27%, signal=68%	
SEP00550	SEP00550	Details ...	26	0.39400163	1.3422533	0.07471264	0.3350743	0.747	232	tags=27%, list=10%, signal=30%	
SEP00520	SEP00520	Details ...	20	0.39418072	1.259567	0.15815085	0.41327092	0.892	396	tags=40%, list=18%, signal=48%	
SEP00552	SEP00552	Details ...	23	0.37215954	1.2295214	0.15324676	0.40191826	0.925	268	tags=22%, list=12%, signal=24%	
SEP00970	SEP00970	Details ...	28	0.34903708	1.1985408	0.20857143	0.39837924	0.946	376	tags=25%, list=17%, signal=30%	
SEP00790	SEP00790	Details ...	22	0.35451224	1.1755772	0.21671018	0.39073178	0.96	259	tags=23%, list=12%, signal=25%	
SEP02010	SEP02010	Details ...	81	0.261928	1.1332887	0.21568628	0.41790643	0.983	137	tags=14%, list=6%, signal=14%	
SEP00230	SEP00230	Details ...	47	0.25873703	1.018023	0.41899443	0.5876196	0.999	458	tags=28%, list=20%, signal=34%	
SEP03030	SEP03030	Details ...	16	0.29623604	0.8694674	0.62647754	0.8557255	1.0	208	tags=19%, list=9%, signal=21%	
SEP03018	SEP03018	Details ...	15	0.26467028	0.7723438	0.76	0.9651014	1.0	424	tags=20%, list=19%, signal=24%	
SEP00680	SEP00680	Details ...	16	0.25279325	0.7603075	0.7892031	0.90772706	1.0	7	tags=6%, list=0%, signal=6%	
SEP03010	SEP03010	Details ...	73	0.16533662	0.70757025	0.9876543	0.8978341	1.0	679	tags=34%, list=30%, signal=47%	
