NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0019843	GO:0019843	Details ...	43	-0.64017075	-2.390541	0.0	0.0	0.0	467	tags=60%, list=21%, signal=75%	
GO:0006525	GO:0006525	Details ...	20	-0.74218833	-2.3234866	0.0	0.0	0.0	246	tags=55%, list=11%, signal=61%	
GO:0032991	GO:0032991	Details ...	121	-0.50541866	-2.314843	0.0	0.0	0.0	519	tags=46%, list=23%, signal=57%	
GO:0009060	GO:0009060	Details ...	21	-0.72585857	-2.2754915	0.0	3.1886226E-4	0.001	503	tags=81%, list=23%, signal=104%	
GO:0005975	GO:0005975	Details ...	72	-0.54042923	-2.272841	0.0	2.550898E-4	0.001	196	tags=35%, list=9%, signal=37%	
GO:0005575	GO:0005575	Details ...	112	-0.5041394	-2.2526987	0.0	4.3171068E-4	0.002	519	tags=47%, list=23%, signal=59%	
GO:0009064	GO:0009064	Details ...	39	-0.61811805	-2.2501307	0.0	3.7003774E-4	0.002	246	tags=38%, list=11%, signal=42%	
GO:0005198	GO:0005198	Details ...	57	-0.5491259	-2.2048025	0.0	4.8712653E-4	0.003	411	tags=46%, list=18%, signal=55%	
GO:0003735	GO:0003735	Details ...	56	-0.54967266	-2.1769664	0.0	8.4143755E-4	0.006	411	tags=46%, list=18%, signal=56%	
GO:1990904	GO:1990904	Details ...	57	-0.5410957	-2.1474907	0.0	8.8258786E-4	0.007	411	tags=46%, list=18%, signal=55%	
GO:1901575	GO:1901575	Details ...	70	-0.51900196	-2.0950682	0.0	0.0012802524	0.011	246	tags=36%, list=11%, signal=39%	
GO:0016773	GO:0016773	Details ...	49	-0.5449599	-2.0821092	0.0	0.0014862753	0.013	238	tags=33%, list=11%, signal=36%	
GO:1902600	GO:1902600	Details ...	23	-0.6542278	-2.068113	0.0	0.0017561574	0.017	669	tags=83%, list=30%, signal=117%	
GO:0005622	GO:0005622	Details ...	22	-0.64696544	-2.0660121	0.0	0.0016307177	0.017	470	tags=64%, list=21%, signal=80%	
GO:0110165	GO:0110165	Details ...	24	-0.62806875	-2.0027514	0.0	0.0035626707	0.039	470	tags=58%, list=21%, signal=73%	
GO:1901615	GO:1901615	Details ...	27	-0.5977572	-1.9980994	0.0	0.0034258913	0.04	118	tags=26%, list=5%, signal=27%	
GO:0005996	GO:0005996	Details ...	22	-0.6312457	-1.9950802	0.0	0.003297214	0.041	548	tags=68%, list=25%, signal=90%	
GO:0009084	GO:0009084	Details ...	21	-0.6249379	-1.9875224	0.0	0.003470819	0.046	232	tags=38%, list=10%, signal=42%	
GO:0044238	GO:0044238	Details ...	439	-0.37674186	-1.9862607	0.0	0.0032881442	0.046	522	tags=35%, list=23%, signal=37%	
GO:0098662	GO:0098662	Details ...	30	-0.5735555	-1.9841391	0.0	0.0031852976	0.047	503	tags=57%, list=23%, signal=72%	
GO:0009056	GO:0009056		51	-0.50947213	-1.9827685	0.0	0.0030929316	0.048	322	tags=37%, list=14%, signal=43%	
GO:0006412	GO:0006412		99	-0.44171062	-1.9477603	0.0	0.004877092	0.08	550	tags=47%, list=25%, signal=60%	
GO:0006066	GO:0006066		23	-0.6103768	-1.9434438	0.0	0.004777301	0.081	118	tags=26%, list=5%, signal=27%	
GO:0016491	GO:0016491		170	-0.40859887	-1.9326833	0.0	0.005158939	0.088	598	tags=42%, list=27%, signal=53%	
GO:0050661	GO:0050661		18	-0.6306617	-1.9236678	0.0	0.0054118065	0.096	759	tags=83%, list=34%, signal=126%	
GO:0043039	GO:0043039		20	-0.6094789	-1.9181577	0.0020449897	0.00558674	0.103	632	tags=70%, list=28%, signal=97%	
GO:0043043	GO:0043043		97	-0.443715	-1.9180057	0.0	0.005379824	0.103	522	tags=46%, list=23%, signal=58%	
GO:0019318	GO:0019318		17	-0.653375	-1.9106479	0.0	0.0055488395	0.109	548	tags=76%, list=25%, signal=101%	
GO:0009401	GO:0009401		18	-0.6358383	-1.9048214	0.001980198	0.0057929754	0.118	285	tags=50%, list=13%, signal=57%	
GO:0008643	GO:0008643		21	-0.5994299	-1.904047	0.0	0.0056397635	0.119	285	tags=52%, list=13%, signal=60%	
GO:0015144	GO:0015144		15	-0.67736894	-1.8994253	0.0	0.0057528913	0.126	238	tags=53%, list=11%, signal=59%	
GO:0098704	GO:0098704		18	-0.6358383	-1.8905531	0.0019762847	0.0062930915	0.14	285	tags=50%, list=13%, signal=57%	
GO:0006418	GO:0006418		20	-0.6094789	-1.8617703	0.0057581575	0.00783955	0.184	632	tags=70%, list=28%, signal=97%	
GO:0016052	GO:0016052		25	-0.5702789	-1.857163	0.0019723866	0.007935372	0.191	90	tags=36%, list=4%, signal=37%	
GO:0005488	GO:0005488		95	-0.42831188	-1.8511202	0.0	0.008578693	0.205	696	tags=55%, list=31%, signal=76%	
GO:0004812	GO:0004812		21	-0.60166	-1.850823	0.0	0.008340395	0.205	632	tags=67%, list=28%, signal=92%	
GO:0016875	GO:0016875		21	-0.60166	-1.8507481	0.0019047619	0.00811498	0.205	632	tags=67%, list=28%, signal=92%	
GO:0016903	GO:0016903		18	-0.61412925	-1.8415796	0.0	0.008898763	0.228	298	tags=39%, list=13%, signal=45%	
GO:0015297	GO:0015297		23	-0.5770352	-1.8397754	0.001934236	0.008871423	0.233	778	tags=78%, list=35%, signal=119%	
GO:0098655	GO:0098655		37	-0.5104774	-1.8376112	0.0019011407	0.008973863	0.241	503	tags=54%, list=23%, signal=69%	
GO:0043648	GO:0043648		22	-0.56315476	-1.8151945	0.0	0.010549794	0.29	434	tags=45%, list=20%, signal=56%	
GO:0010467	GO:0010467		159	-0.37813306	-1.7888409	0.0	0.013347199	0.359	522	tags=42%, list=23%, signal=50%	
GO:0006006	GO:0006006		15	-0.6226219	-1.771603	0.010080645	0.015278783	0.403	696	tags=87%, list=31%, signal=125%	
GO:0016614	GO:0016614		37	-0.4785309	-1.7266537	0.0040983604	0.023786632	0.56	680	tags=54%, list=31%, signal=77%	
GO:0022804	GO:0022804		81	-0.4081998	-1.7045498	0.0039525693	0.028513834	0.638	705	tags=57%, list=32%, signal=80%	
GO:0043167	GO:0043167		111	-0.3810138	-1.7006994	0.0	0.028948521	0.653	688	tags=45%, list=31%, signal=62%	
GO:1902494	GO:1902494		36	-0.4712094	-1.6914415	0.003921569	0.031019932	0.687	726	tags=56%, list=33%, signal=81%	
GO:0017076	GO:0017076		37	-0.4747522	-1.6893526	0.0019267823	0.030957386	0.692	680	tags=57%, list=31%, signal=80%	
GO:0043168	GO:0043168		108	-0.37890533	-1.6837893	0.0	0.031679373	0.706	688	tags=45%, list=31%, signal=63%	
GO:1901605	GO:1901605		72	-0.40326223	-1.6808575	0.0	0.03167219	0.716	660	tags=44%, list=30%, signal=61%	
GO:0043650	GO:0043650		18	-0.5531341	-1.6627815	0.011952192	0.03637376	0.77	434	tags=44%, list=20%, signal=55%	
GO:0006520	GO:0006520		105	-0.37369436	-1.6468334	0.0020876827	0.040784635	0.804	660	tags=40%, list=30%, signal=54%	
GO:0003723	GO:0003723		100	-0.37304264	-1.6393965	0.0	0.041977122	0.82	605	tags=45%, list=27%, signal=59%	
GO:0019538	GO:0019538		164	-0.34304538	-1.6273463	0.0	0.045170113	0.844	522	tags=38%, list=23%, signal=46%	
GO:0032561	GO:0032561		31	-0.4681502	-1.6259528	0.011560693	0.04479475	0.846	647	tags=52%, list=29%, signal=72%	
GO:0005525	GO:0005525		31	-0.4681502	-1.6228622	0.025	0.045088273	0.852	647	tags=52%, list=29%, signal=72%	
GO:0006082	GO:0006082		29	-0.4698357	-1.6218859	0.010080645	0.04454864	0.856	312	tags=34%, list=14%, signal=40%	
GO:0016874	GO:0016874		84	-0.37815773	-1.6134312	0.003944773	0.046920653	0.875	650	tags=48%, list=29%, signal=65%	
GO:0008324	GO:0008324		39	-0.44709876	-1.6079684	0.0060975607	0.04855843	0.89	503	tags=51%, list=23%, signal=65%	
GO:0008483	GO:0008483		16	-0.5515459	-1.6051267	0.03448276	0.048919115	0.894	610	tags=56%, list=27%, signal=77%	
GO:0016301	GO:0016301		89	-0.3767911	-1.5975525	0.006263048	0.05145772	0.912	246	tags=25%, list=11%, signal=27%	
GO:0016769	GO:0016769		16	-0.5515459	-1.5917035	0.023952097	0.05281732	0.919	610	tags=56%, list=27%, signal=77%	
GO:0015075	GO:0015075		37	-0.43778372	-1.5850753	0.010121457	0.054732576	0.928	503	tags=51%, list=23%, signal=65%	
GO:0022890	GO:0022890		22	-0.48586902	-1.5546615	0.033663366	0.06768437	0.968	503	tags=59%, list=23%, signal=76%	
GO:0098660	GO:0098660		35	-0.43891138	-1.5404937	0.023904383	0.07430097	0.977	503	tags=49%, list=23%, signal=62%	
GO:0003924	GO:0003924		16	-0.5221771	-1.5334045	0.027944112	0.07702193	0.977	623	tags=63%, list=28%, signal=86%	
GO:0016020	GO:0016020		23	-0.47166997	-1.5208936	0.044487428	0.08312105	0.984	675	tags=61%, list=30%, signal=87%	
GO:0098796	GO:0098796		23	-0.47166997	-1.5132362	0.03868472	0.0865038	0.985	675	tags=61%, list=30%, signal=87%	
GO:0044281	GO:0044281		147	-0.32124013	-1.5052847	0.0	0.09082278	0.989	210	tags=17%, list=9%, signal=18%	
GO:0043436	GO:0043436		123	-0.32406855	-1.4908222	0.005791506	0.09930629	0.994	664	tags=40%, list=30%, signal=54%	
GO:0050660	GO:0050660		24	-0.46562654	-1.4871664	0.030710172	0.100738995	0.994	346	tags=38%, list=16%, signal=44%	
GO:0016616	GO:0016616		31	-0.4346554	-1.4829899	0.038229376	0.1021161	0.994	680	tags=48%, list=31%, signal=69%	
GO:0005515	GO:0005515		16	-0.52782774	-1.4794139	0.046421662	0.102896154	0.994	533	tags=63%, list=24%, signal=82%	
GO:0009059	GO:0009059		210	-0.30004275	-1.4651198	0.004132231	0.11187968	0.996	522	tags=35%, list=23%, signal=42%	
GO:0019752	GO:0019752		138	-0.31672588	-1.4566087	0.010615711	0.116330534	0.996	698	tags=43%, list=31%, signal=58%	
GO:0015291	GO:0015291		36	-0.40276802	-1.442188	0.049792532	0.12587418	0.998	738	tags=53%, list=33%, signal=78%	
GO:0015318	GO:0015318		26	-0.4344054	-1.4414748	0.045454547	0.12490628	0.998	513	tags=58%, list=23%, signal=74%	
GO:0006812	GO:0006812		48	-0.37736955	-1.4405845	0.03984064	0.12407171	0.999	503	tags=44%, list=23%, signal=55%	
GO:0006796	GO:0006796		108	-0.3191573	-1.4388772	0.014	0.1240328	1.0	246	tags=21%, list=11%, signal=23%	
GO:0016310	GO:0016310		85	-0.3345161	-1.4366485	0.025490196	0.12427161	1.0	246	tags=22%, list=11%, signal=24%	
GO:0006164	GO:0006164		42	-0.388605	-1.4247047	0.04563492	0.13294415	1.0	444	tags=45%, list=20%, signal=55%	
GO:0016667	GO:0016667		18	-0.4714923	-1.4180808	0.114	0.13716853	1.0	276	tags=33%, list=12%, signal=38%	
GO:0016772	GO:0016772		147	-0.30166578	-1.4010296	0.015873017	0.15076852	1.0	246	tags=19%, list=11%, signal=20%	
GO:0009260	GO:0009260		42	-0.37557998	-1.3996408	0.057613168	0.1501786	1.0	444	tags=40%, list=20%, signal=50%	
GO:0008652	GO:0008652		74	-0.33539945	-1.3974669	0.03629032	0.15036304	1.0	735	tags=43%, list=33%, signal=62%	
