NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0032196	GO:0032196	Details ...	17	0.6475262	1.9250163	0.0	0.117917925	0.124	613	tags=94%, list=28%, signal=129%	
GO:0008033	GO:0008033	Details ...	32	0.49475953	1.8457704	0.0041237115	0.13208175	0.26	478	tags=44%, list=22%, signal=55%	
GO:0042578	GO:0042578	Details ...	20	0.57239014	1.8212143	0.004576659	0.11561206	0.333	430	tags=50%, list=19%, signal=61%	
GO:0006396	GO:0006396	Details ...	42	0.44226614	1.6796999	0.0043956046	0.28985408	0.722	357	tags=33%, list=16%, signal=39%	
GO:0016791	GO:0016791	Details ...	16	0.56388974	1.6471905	0.015283843	0.30115426	0.821	430	tags=44%, list=19%, signal=54%	
GO:0006400	GO:0006400	Details ...	25	0.4792379	1.6253575	0.013245033	0.29321855	0.865	478	tags=40%, list=22%, signal=50%	
GO:0034660	GO:0034660	Details ...	46	0.41125372	1.6097616	0.011682243	0.28561336	0.895	357	tags=30%, list=16%, signal=36%	
GO:0034470	GO:0034470	Details ...	51	0.3954586	1.6085435	0.008830022	0.25302842	0.901	357	tags=29%, list=16%, signal=34%	
GO:0009451	GO:0009451	Details ...	40	0.4061328	1.5828967	0.020920502	0.27033007	0.935	184	tags=20%, list=8%, signal=21%	
GO:0006399	GO:0006399	Details ...	42	0.40402338	1.5673919	0.016166281	0.27211437	0.95	357	tags=31%, list=16%, signal=36%	
GO:0140097	GO:0140097	Details ...	52	0.3560355	1.4786034	0.018823529	0.44496328	0.999	558	tags=46%, list=25%, signal=60%	
GO:0043412	GO:0043412	Details ...	48	0.35794833	1.4657698	0.03194103	0.44213507	0.999	184	tags=17%, list=8%, signal=18%	
GO:0009069	GO:0009069	Details ...	18	0.45437974	1.4284714	0.06818182	0.5090465	1.0	227	tags=28%, list=10%, signal=31%	
GO:0015074	GO:0015074	Details ...	15	0.47341865	1.4112039	0.07966457	0.5268863	1.0	613	tags=67%, list=28%, signal=91%	
GO:0006220	GO:0006220	Details ...	16	0.46532398	1.3864303	0.0877193	0.5673964	1.0	261	tags=25%, list=12%, signal=28%	
GO:0016810	GO:0016810	Details ...	40	0.36109114	1.3717456	0.07333333	0.57844293	1.0	508	tags=35%, list=23%, signal=45%	
GO:0016866	GO:0016866	Details ...	18	0.42455426	1.3292924	0.118503116	0.69779116	1.0	128	tags=22%, list=6%, signal=23%	
GO:0016775	GO:0016775	Details ...	16	0.42921126	1.3236184	0.13378684	0.6794113	1.0	249	tags=25%, list=11%, signal=28%	
GO:0006865	GO:0006865	Details ...	15	0.44985208	1.3193468	0.11889596	0.65841186	1.0	601	tags=47%, list=27%, signal=64%	
GO:0004673	GO:0004673	Details ...	15	0.44182643	1.3076564	0.14225942	0.66726303	1.0	249	tags=27%, list=11%, signal=30%	
GO:0006310	GO:0006310		43	0.33248615	1.2940583	0.086283185	0.68352574	1.0	716	tags=60%, list=32%, signal=87%	
GO:0016765	GO:0016765		16	0.42695546	1.2908233	0.16517857	0.66329163	1.0	492	tags=44%, list=22%, signal=56%	
GO:0140640	GO:0140640		81	0.29174542	1.2845495	0.08064516	0.6562302	1.0	698	tags=46%, list=31%, signal=64%	
GO:0016811	GO:0016811		23	0.39125237	1.283781	0.14634146	0.6314455	1.0	599	tags=39%, list=27%, signal=53%	
GO:0042221	GO:0042221		19	0.4032456	1.2754208	0.15631263	0.6336265	1.0	140	tags=21%, list=6%, signal=22%	
GO:0071705	GO:0071705		48	0.3106553	1.2552001	0.13636364	0.6779224	1.0	601	tags=35%, list=27%, signal=47%	
GO:0009167	GO:0009167		17	0.4058324	1.2368602	0.17620137	0.7221649	1.0	164	tags=18%, list=7%, signal=19%	
GO:0071555	GO:0071555		34	0.32942474	1.2320867	0.17289719	0.7144948	1.0	275	tags=26%, list=12%, signal=30%	
GO:0090304	GO:0090304		184	0.2378124	1.2299482	0.054945055	0.6976914	1.0	357	tags=23%, list=16%, signal=26%	
GO:0045229	GO:0045229		34	0.32942474	1.2117385	0.19347319	0.74146193	1.0	275	tags=26%, list=12%, signal=30%	
GO:0006790	GO:0006790		40	0.31336766	1.2109101	0.15929204	0.7204576	1.0	688	tags=48%, list=31%, signal=68%	
GO:0071554	GO:0071554		47	0.29829282	1.205363	0.1744186	0.718395	1.0	275	tags=21%, list=12%, signal=24%	
GO:0000096	GO:0000096		16	0.39262146	1.1992389	0.24180327	0.717723	1.0	539	tags=44%, list=24%, signal=57%	
GO:0140299	GO:0140299		20	0.3610516	1.1739619	0.24786325	0.7925304	1.0	249	tags=25%, list=11%, signal=28%	
GO:0046942	GO:0046942		20	0.3690052	1.1678396	0.23974082	0.792952	1.0	652	tags=45%, list=29%, signal=63%	
GO:0006022	GO:0006022		24	0.34305045	1.1661103	0.23430963	0.77788377	1.0	486	tags=33%, list=22%, signal=42%	
GO:0046943	GO:0046943		15	0.38938153	1.1628575	0.2637131	0.7688389	1.0	652	tags=47%, list=29%, signal=66%	
GO:0004672	GO:0004672		20	0.3601387	1.1541505	0.2718053	0.77987933	1.0	249	tags=20%, list=11%, signal=22%	
GO:0009072	GO:0009072		15	0.38662168	1.1414583	0.28733033	0.80637145	1.0	649	tags=60%, list=29%, signal=84%	
GO:0030203	GO:0030203		25	0.3307473	1.13616	0.26710817	0.8062526	1.0	114	tags=16%, list=5%, signal=17%	
GO:0016798	GO:0016798		15	0.38231412	1.1235744	0.306	0.83381426	1.0	90	tags=20%, list=4%, signal=21%	
GO:0044272	GO:0044272		29	0.31907448	1.1212263	0.27429804	0.82327145	1.0	492	tags=34%, list=22%, signal=44%	
GO:0000270	GO:0000270		25	0.3307473	1.1123192	0.28603104	0.83790886	1.0	114	tags=16%, list=5%, signal=17%	
GO:0016787	GO:0016787		238	0.21028766	1.1082135	0.19166666	0.8336056	1.0	458	tags=24%, list=21%, signal=26%	
GO:0006259	GO:0006259		114	0.23065206	1.0952889	0.25925925	0.8638501	1.0	467	tags=30%, list=21%, signal=36%	
GO:0006644	GO:0006644		16	0.36012897	1.0924501	0.31355932	0.8563724	1.0	425	tags=38%, list=19%, signal=46%	
GO:0001510	GO:0001510		18	0.3525374	1.087684	0.29345372	0.85581946	1.0	184	tags=17%, list=8%, signal=18%	
GO:0008654	GO:0008654		16	0.36012897	1.0859485	0.34429824	0.8444933	1.0	425	tags=38%, list=19%, signal=46%	
GO:0050896	GO:0050896		55	0.2605096	1.0734816	0.33953488	0.87414217	1.0	200	tags=16%, list=9%, signal=18%	
GO:0016070	GO:0016070		98	0.22931767	1.068573	0.3127962	0.8744391	1.0	357	tags=21%, list=16%, signal=24%	
GO:0009117	GO:0009117		52	0.26200458	1.0497307	0.37182447	0.9305912	1.0	261	tags=15%, list=12%, signal=17%	
GO:0016043	GO:0016043		54	0.24928716	1.0415287	0.39101124	0.9447933	1.0	308	tags=20%, list=14%, signal=23%	
GO:0072330	GO:0072330		27	0.29671004	1.0372626	0.39870688	0.9438214	1.0	650	tags=41%, list=29%, signal=57%	
GO:0051287	GO:0051287		23	0.30966264	1.0262456	0.4205021	0.96886873	1.0	420	tags=35%, list=19%, signal=42%	
GO:0044248	GO:0044248		15	0.34117416	1.024004	0.40650406	0.9594905	1.0	635	tags=47%, list=29%, signal=65%	
GO:0016747	GO:0016747		46	0.25472704	1.0158238	0.43049327	0.97506577	1.0	433	tags=26%, list=19%, signal=32%	
GO:0055085	GO:0055085		160	0.20341806	1.0145748	0.42118862	0.9627267	1.0	589	tags=33%, list=27%, signal=41%	
GO:0006767	GO:0006767		28	0.29316023	1.0131874	0.42643923	0.9510778	1.0	481	tags=29%, list=22%, signal=36%	
GO:0006766	GO:0006766		28	0.29316023	1.009028	0.44117647	0.95104784	1.0	481	tags=29%, list=22%, signal=36%	
GO:0090407	GO:0090407		45	0.25563613	0.99965096	0.46948355	0.97233045	1.0	501	tags=27%, list=23%, signal=34%	
GO:0009156	GO:0009156		19	0.3170997	0.9941779	0.45995894	0.9760725	1.0	164	tags=11%, list=7%, signal=11%	
GO:0009127	GO:0009127		16	0.3348142	0.9896478	0.45530146	0.9773179	1.0	164	tags=13%, list=7%, signal=13%	
GO:0009165	GO:0009165		42	0.25482798	0.9891459	0.4675615	0.96349263	1.0	261	tags=14%, list=12%, signal=16%	
GO:0022604	GO:0022604		27	0.2792822	0.98012954	0.47123894	0.9818155	1.0	486	tags=30%, list=22%, signal=37%	
GO:0008360	GO:0008360		27	0.2792822	0.97712004	0.49281314	0.9778586	1.0	486	tags=30%, list=22%, signal=37%	
GO:0003677	GO:0003677		180	0.19128089	0.9741766	0.49465242	0.9742165	1.0	441	tags=26%, list=20%, signal=29%	
