sseqid	Description	G0_1	G0_2	G0_3	G2_1	G2_2	G2_3	G5_1	G5_2	G5_3	G10_1	G10_2	G10_3	G17_1	G17_2	G17_3	G50_1	G50_2	G50_3
SE_0010	F1613_RS02865	117	101	80	120	179	85	140	134	100	101	103	127	111	134	121	147	114	300
SE_0025	F1613_RS02950	11122	20337	12794	12716	11499	13767	8045	11437	7595	6555	6937	9630	9151	12237	11470	11846	11953	8616
SE_0030	F1613_RS02975	30	12	13	25	44	18	24	9	15	24	20	24	9	24	9	15	15	102
SE_0035	pbp4	191	202	266	317	361	250	400	379	350	388	458	432	371	420	489	379	269	700
SE_0040	F1613_RS03025	1408	2485	1794	1438	1198	1384	1292	1415	1161	750	881	1247	1681	1643	1316	1872	1352	1138
SE_0045	F1613_RS03050	237	170	112	238	232	242	231	234	180	178	198	294	350	293	246	286	228	136
SE_0050	F1613_RS03075	378	384	419	453	448	437	544	587	584	650	774	669	701	620	693	737	502	801
SE_0055	F1613_RS03100	16	15	4	20	39	16	23	8	7	10	13	16	12	10	1	8	4	93
SE_0060	F1613_RS03125	242	182	146	218	400	209	228	185	198	264	169	136	136	239	194	151	131	761
SE_0008	sph	549	484	492	615	577	561	508	533	576	470	525	574	447	618	594	606	624	803
SE_0070	F1613_RS03160	41	33	11	43	85	46	63	46	22	29	24	41	43	61	37	51	39	186
SE_0013	F1613_RS02880	27568	32358	30898	27497	24715	27592	29704	29711	29944	31288	34505	38011	29806	31266	31639	33865	32146	31788
SE_0075	F1613_RS03185	32620	36290	39905	29422	30329	35506	30694	32938	35916	36040	30225	32034	28676	22613	28123	27864	33862	26082
SE_0022	F1613_RS02935	2618	2169	1852	3141	3080	3160	3943	3850	4200	3492	3899	4487	4601	3140	3920	4254	3098	3410
SE_0080	F1613_RS03210	8204	8570	7550	7730	7973	7175	7156	6362	6598	10516	8487	6092	9041	7123	7006	7302	11500	9298
SE_0028	F1613_RS02965	330	470	195	582	651	543	2066	1753	2458	701	555	944	2566	1178	1520	339	542	573
SE_0033	F1613_RS02990	42	45	18	43	64	42	56	41	34	35	58	31	37	65	49	34	27	135
SE_0087	F1613_RS03245	236	215	169	247	274	201	273	261	302	241	229	244	213	220	219	234	184	437
SE_0038	F1613_RS03015	425	482	438	507	583	487	506	493	422	411	494	523	421	434	422	421	527	852
SE_0092	F1613_RS03270	3106	3523	2512	3172	3075	3100	2876	3332	2527	2163	2995	2997	2745	4892	5221	3549	3706	2819
SE_0043	F1613_RS03040	15	58	36	34	31	34	54	26	32	26	47	56	86	67	46	70	37	61
SE_0097	F1613_RS03295	8437	9566	9374	7207	7589	8553	8197	7275	6113	5867	6454	6680	5544	13834	13431	8081	11767	5600
SE_0048	F1613_RS03065	609	609	297	890	1021	799	2793	2214	3115	914	634	1356	3027	1398	1825	572	733	586
SE_0104	F1613_RS03325	79	319	178	44	99	60	58	44	28	19	17	36	27	72	26	45	38	113
SE_0053	F1613_RS03090	41	24	15	50	64	42	47	63	48	44	45	78	56	55	56	60	45	132
SE_0110	F1613_RS03360	721	2005	977	321	411	385	178	173	88	127	45	63	158	194	71	174	372	200
SE_0058	F1613_RS03115	321	316	353	350	395	327	370	382	336	336	290	365	252	326	327	273	360	469
