NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0043043	GO:0043043	Details ...	99	-0.67815375	-2.9885678	0.0	0.0	0.0	554	tags=74%, list=25%, signal=94%	
GO:0005198	GO:0005198	Details ...	57	-0.7227862	-2.857345	0.0	0.0	0.0	541	tags=84%, list=24%, signal=108%	
GO:0003735	GO:0003735	Details ...	56	-0.7235075	-2.813741	0.0	0.0	0.0	541	tags=86%, list=24%, signal=110%	
GO:0006412	GO:0006412	Details ...	101	-0.65234	-2.804581	0.0	0.0	0.0	554	tags=72%, list=25%, signal=92%	
GO:0003723	GO:0003723	Details ...	100	-0.63246036	-2.8015585	0.0	0.0	0.0	541	tags=61%, list=24%, signal=77%	
GO:1990904	GO:1990904	Details ...	57	-0.71491903	-2.77957	0.0	0.0	0.0	541	tags=84%, list=24%, signal=108%	
GO:0019843	GO:0019843	Details ...	43	-0.73801047	-2.6958244	0.0	0.0	0.0	566	tags=86%, list=25%, signal=113%	
GO:0140098	GO:0140098	Details ...	58	-0.6131281	-2.4203477	0.0	0.0	0.0	481	tags=52%, list=22%, signal=64%	
GO:0071840	GO:0071840	Details ...	81	-0.5639077	-2.3456423	0.0	0.0	0.0	596	tags=49%, list=27%, signal=65%	
GO:0140101	GO:0140101	Details ...	44	-0.6143196	-2.2884023	0.0	0.0	0.0	481	tags=52%, list=22%, signal=65%	
GO:0006418	GO:0006418	Details ...	20	-0.7477135	-2.2765048	0.0	0.0	0.0	418	tags=65%, list=19%, signal=79%	
GO:0016875	GO:0016875	Details ...	21	-0.7241894	-2.2480958	0.0	1.1391437E-4	0.001	418	tags=62%, list=19%, signal=76%	
GO:0043039	GO:0043039	Details ...	20	-0.7477135	-2.228999	0.0	1.0515172E-4	0.001	418	tags=65%, list=19%, signal=79%	
GO:0044085	GO:0044085	Details ...	51	-0.58408725	-2.213069	0.0	3.084112E-4	0.003	581	tags=47%, list=26%, signal=62%	
GO:0004812	GO:0004812	Details ...	21	-0.7241894	-2.2070255	0.0	2.8785047E-4	0.003	418	tags=62%, list=19%, signal=76%	
GO:0005575	GO:0005575	Details ...	112	-0.49121335	-2.1722476	0.0	2.698598E-4	0.003	572	tags=55%, list=26%, signal=71%	
GO:0071554	GO:0071554	Details ...	47	-0.5785367	-2.1719832	0.0	2.539857E-4	0.003	621	tags=51%, list=28%, signal=69%	
GO:0019350	GO:0019350	Details ...	17	-0.7384235	-2.1645296	0.0	2.3987539E-4	0.003	8	tags=24%, list=0%, signal=23%	
GO:0006220	GO:0006220	Details ...	16	-0.73169935	-2.1493	0.0	3.1157408E-4	0.004	356	tags=50%, list=16%, signal=59%	
GO:0046374	GO:0046374	Details ...	17	-0.7384235	-2.1449814	0.0	2.9599539E-4	0.004	8	tags=24%, list=0%, signal=23%	
GO:1901137	GO:1901137		55	-0.542203	-2.1439285	0.0	2.8190037E-4	0.004	668	tags=49%, list=30%, signal=68%	
GO:0044038	GO:0044038		38	-0.57914084	-2.106406	0.0	4.951886E-4	0.007	621	tags=53%, list=28%, signal=72%	
GO:0009273	GO:0009273		38	-0.57914084	-2.0703084	0.0	6.695221E-4	0.01	621	tags=53%, list=28%, signal=72%	
GO:0009059	GO:0009059		225	-0.42123148	-2.0324466	0.0	0.0012217772	0.019	555	tags=51%, list=25%, signal=61%	
GO:0042546	GO:0042546		21	-0.65596825	-1.9979057	0.00802139	0.0017356089	0.028	89	tags=24%, list=4%, signal=25%	
GO:1901293	GO:1901293		32	-0.57484305	-1.9642783	0.0	0.0026504397	0.045	434	tags=44%, list=20%, signal=54%	
GO:0016043	GO:0016043		54	-0.50898355	-1.9635762	0.0	0.0025522753	0.045	621	tags=50%, list=28%, signal=68%	
GO:0071555	GO:0071555		34	-0.554615	-1.9516006	0.0	0.0027899896	0.051	621	tags=56%, list=28%, signal=76%	
GO:0045229	GO:0045229		34	-0.554615	-1.9255223	0.0	0.0036730468	0.069	621	tags=56%, list=28%, signal=76%	
GO:0010467	GO:0010467		166	-0.41254172	-1.9183877	0.0	0.0037558828	0.072	541	tags=56%, list=24%, signal=69%	
GO:0000049	GO:0000049		25	-0.6003026	-1.9137975	0.0031055901	0.003888913	0.077	566	tags=68%, list=25%, signal=90%	
GO:0007049	GO:0007049		33	-0.5464618	-1.9106922	0.0	0.003912255	0.079	827	tags=64%, list=37%, signal=100%	
GO:0044249	GO:0044249		332	-0.3825027	-1.910071	0.0	0.003886808	0.081	555	tags=45%, list=25%, signal=51%	
GO:0043170	GO:0043170		323	-0.36534187	-1.8593315	0.0	0.007493345	0.154	555	tags=43%, list=25%, signal=49%	
GO:0034660	GO:0034660		46	-0.4981647	-1.8533387	0.0	0.0076668467	0.161	382	tags=35%, list=17%, signal=41%	
GO:0032991	GO:0032991		121	-0.41021377	-1.838494	0.0	0.0087770345	0.188	572	tags=51%, list=26%, signal=65%	
GO:0006082	GO:0006082		29	-0.54288054	-1.8194171	0.0	0.009788805	0.214	8	tags=14%, list=0%, signal=14%	
GO:0001510	GO:0001510		18	-0.5904087	-1.766423	0.010958904	0.016922876	0.345	727	tags=72%, list=33%, signal=106%	
GO:0006399	GO:0006399		42	-0.48391935	-1.7640172	0.0	0.01672434	0.351	382	tags=33%, list=17%, signal=39%	
GO:0006022	GO:0006022		24	-0.54638803	-1.7411242	0.002793296	0.020111669	0.413	709	tags=63%, list=32%, signal=91%	
GO:0030203	GO:0030203		25	-0.5382772	-1.7384174	0.0	0.020003714	0.417	709	tags=60%, list=32%, signal=87%	
GO:0065008	GO:0065008		36	-0.49043757	-1.7264053	0.010526316	0.021637341	0.452	621	tags=53%, list=28%, signal=72%	
GO:0000270	GO:0000270		25	-0.5382772	-1.7220085	0.021084337	0.021757858	0.461	709	tags=60%, list=32%, signal=87%	
GO:0022613	GO:0022613		25	-0.5245751	-1.7123468	0.008426966	0.023438763	0.496	723	tags=56%, list=33%, signal=82%	
GO:0006753	GO:0006753		44	-0.4497674	-1.7060491	0.0	0.023774095	0.506	530	tags=39%, list=24%, signal=50%	
GO:0022604	GO:0022604		27	-0.5083775	-1.7059314	0.0089552235	0.023287259	0.507	621	tags=52%, list=28%, signal=71%	
GO:0008360	GO:0008360		27	-0.5083775	-1.7024951	0.0057306592	0.023249716	0.51	621	tags=52%, list=28%, signal=71%	
GO:0022402	GO:0022402		18	-0.5890843	-1.6981024	0.0075	0.0235738	0.52	550	tags=44%, list=25%, signal=59%	
GO:0006023	GO:0006023		21	-0.5447217	-1.6958888	0.00591716	0.023594812	0.524	621	tags=57%, list=28%, signal=79%	
GO:0034470	GO:0034470		51	-0.43766543	-1.6958437	0.0038314175	0.023158392	0.525	727	tags=51%, list=33%, signal=74%	
