NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0016491	GO:0016491	Details ...	170	0.55179965	2.11702	0.0	0.0	0.0	437	tags=39%, list=20%, signal=45%	
GO:1901607	GO:1901607	Details ...	42	0.66132283	2.1085944	0.0	3.785425E-4	0.001	432	tags=60%, list=19%, signal=72%	
GO:0009056	GO:0009056	Details ...	52	0.6459123	2.0986528	0.0	2.5236167E-4	0.001	276	tags=40%, list=12%, signal=45%	
GO:1901575	GO:1901575	Details ...	71	0.60726005	2.0695968	0.0	3.9431514E-4	0.002	343	tags=42%, list=15%, signal=48%	
GO:0019318	GO:0019318	Details ...	17	0.7574243	2.009784	0.0	0.0012340705	0.008	464	tags=82%, list=21%, signal=103%	
GO:0019752	GO:0019752	Details ...	138	0.53470904	2.0097291	0.0	0.0010283921	0.008	507	tags=49%, list=23%, signal=60%	
GO:0051604	GO:0051604	Details ...	22	0.7009029	1.9565393	0.0	0.0022137274	0.02	257	tags=45%, list=12%, signal=51%	
GO:0005996	GO:0005996	Details ...	22	0.6901418	1.9204841	0.0	0.0038565472	0.038	464	tags=73%, list=21%, signal=91%	
GO:0050896	GO:0050896	Details ...	55	0.5821973	1.9174755	0.0	0.0036861943	0.041	345	tags=40%, list=16%, signal=46%	
GO:0008652	GO:0008652	Details ...	74	0.5523481	1.9101986	0.0	0.004030414	0.049	432	tags=46%, list=19%, signal=55%	
GO:0005975	GO:0005975	Details ...	72	0.5489134	1.886309	0.0	0.004938418	0.066	399	tags=42%, list=18%, signal=49%	
GO:1901605	GO:1901605	Details ...	84	0.53303987	1.883338	0.0	0.0047810855	0.07	432	tags=45%, list=19%, signal=54%	
GO:0016052	GO:0016052	Details ...	25	0.65844995	1.8661405	0.0	0.005859584	0.093	523	tags=68%, list=24%, signal=88%	
GO:0009991	GO:0009991	Details ...	15	0.7245871	1.8448316	0.003267974	0.00770997	0.13	318	tags=53%, list=14%, signal=62%	
GO:0006006	GO:0006006	Details ...	15	0.7372986	1.8396579	0.0015898251	0.007817875	0.141	464	tags=80%, list=21%, signal=100%	
GO:0043436	GO:0043436	Details ...	123	0.49961668	1.8355752	0.0	0.007909448	0.153	533	tags=46%, list=24%, signal=58%	
GO:0006090	GO:0006090	Details ...	21	0.66531277	1.8260183	0.0031595577	0.008355658	0.172	487	tags=67%, list=22%, signal=85%	
GO:0046394	GO:0046394	Details ...	91	0.51044697	1.8143591	0.0	0.00918487	0.197	432	tags=42%, list=19%, signal=50%	
GO:0006066	GO:0006066	Details ...	23	0.6350053	1.7993884	0.0030487804	0.010754436	0.235	180	tags=43%, list=8%, signal=47%	
GO:0006096	GO:0006096	Details ...	19	0.6738099	1.7990899	0.004716981	0.010216714	0.235	487	tags=68%, list=22%, signal=87%	
GO:0016616	GO:0016616		31	0.602988	1.7909701	0.0	0.010802177	0.257	231	tags=35%, list=10%, signal=39%	
GO:0006520	GO:0006520		109	0.48219678	1.7582512	0.0	0.01670429	0.377	447	tags=41%, list=20%, signal=49%	
