NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SEP03010	SEP03010	Details ...	73	-0.6784328	-2.8081217	0.0	0.0	0.0	543	tags=66%, list=24%, signal=84%	
SEP00970	SEP00970	Details ...	28	-0.6432188	-2.1128597	0.0	0.0011818182	0.002	483	tags=57%, list=21%, signal=72%	
SEP00552	SEP00552	Details ...	23	-0.61739916	-1.9937793	0.0	0.0031819893	0.008	8	tags=17%, list=0%, signal=17%	
SEP00550	SEP00550	Details ...	26	-0.52296853	-1.6735336	0.012383901	0.045917362	0.141	712	tags=62%, list=32%, signal=89%	
SEP00630	SEP00630	Details ...	23	-0.5149026	-1.6135887	0.002967359	0.05569854	0.209	414	tags=39%, list=18%, signal=47%	
SEP00240	SEP00240	Details ...	26	-0.4708486	-1.5354612	0.03313253	0.079148926	0.33	451	tags=46%, list=20%, signal=57%	
SEP00564	SEP00564	Details ...	17	-0.4853514	-1.4027851	0.08396947	0.1566872	0.614	328	tags=35%, list=15%, signal=41%	
SEP02020	SEP02020	Details ...	65	-0.31096542	-1.2568473	0.07539683	0.28864107	0.865	262	tags=22%, list=12%, signal=24%	
SEP00061	SEP00061	Details ...	15	-0.38081363	-1.0421859	0.40053764	0.6444845	0.993	926	tags=67%, list=41%, signal=113%	
SEP03060	SEP03060	Details ...	17	-0.36307827	-1.0204123	0.4630137	0.6282844	0.994	747	tags=71%, list=33%, signal=105%	
SEP00520	SEP00520	Details ...	20	-0.3271654	-0.98038524	0.46448088	0.65434575	0.996	135	tags=15%, list=6%, signal=16%	
SEP00790	SEP00790	Details ...	22	-0.28274477	-0.88046783	0.6321839	0.81438303	1.0	407	tags=41%, list=18%, signal=49%	
SEP03030	SEP03030	Details ...	16	-0.28636947	-0.84082705	0.6929348	0.82780856	1.0	395	tags=19%, list=18%, signal=23%	
SEP03430	SEP03430	Details ...	17	-0.2737363	-0.7873767	0.7771883	0.8555075	1.0	15	tags=6%, list=1%, signal=6%	
SEP03440	SEP03440	Details ...	20	-0.25775114	-0.7840641	0.7765363	0.80252635	1.0	15	tags=5%, list=1%, signal=5%	
