NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SEP00650	SEP00650	Details ...	19	0.80911213	2.1655552	0.0	0.0	0.0	125	tags=53%, list=6%, signal=55%	
SEP00220	SEP00220	Details ...	20	0.6841896	1.8257993	0.0	0.013365749	0.028	503	tags=70%, list=22%, signal=89%	
SEP00640	SEP00640	Details ...	24	0.65216124	1.7954509	0.001510574	0.012144067	0.039	131	tags=21%, list=6%, signal=22%	
SEP00770	SEP00770	Details ...	18	0.64724296	1.7015952	0.00466563	0.029880667	0.127	184	tags=39%, list=8%, signal=42%	
SEP00190	SEP00190	Details ...	24	0.568986	1.6083297	0.01076923	0.062250122	0.296	13	tags=8%, list=1%, signal=8%	
SEP00270	SEP00270	Details ...	24	0.556542	1.5913874	0.017492712	0.060780145	0.341	469	tags=58%, list=21%, signal=73%	
SEP00010	SEP00010	Details ...	37	0.5227037	1.5859083	0.014534884	0.0549608	0.353	520	tags=51%, list=23%, signal=66%	
SEP00260	SEP00260	Details ...	30	0.4659479	1.375759	0.088323355	0.24536481	0.891	491	tags=47%, list=22%, signal=59%	
SEP00620	SEP00620	Details ...	47	0.41757444	1.328896	0.10285714	0.2870999	0.951	458	tags=30%, list=20%, signal=37%	
SEP00400	SEP00400	Details ...	18	0.47092307	1.2501365	0.20033112	0.3891226	0.993	373	tags=33%, list=17%, signal=40%	
SEP00561	SEP00561	Details ...	19	0.46321258	1.200165	0.2541857	0.4461833	0.997	277	tags=37%, list=12%, signal=42%	
SEP00250	SEP00250	Details ...	19	0.43859634	1.1722276	0.27411944	0.46206185	1.0	397	tags=42%, list=18%, signal=51%	
SEP00030	SEP00030	Details ...	21	0.40043902	1.0969229	0.33026114	0.5690797	1.0	528	tags=48%, list=23%, signal=62%	
SEP00860	SEP00860	Details ...	16	0.42033586	1.0859662	0.3632	0.5488372	1.0	920	tags=63%, list=41%, signal=105%	
SEP00680	SEP00680	Details ...	16	0.41100752	1.0637343	0.37013996	0.55596834	1.0	608	tags=56%, list=27%, signal=77%	
SEP00730	SEP00730	Details ...	16	0.4106889	1.0368897	0.42138365	0.56984466	1.0	584	tags=63%, list=26%, signal=84%	
SEP03018	SEP03018	Details ...	15	0.40372047	1.0187948	0.45295057	0.5675039	1.0	37	tags=13%, list=2%, signal=13%	
SEP02024	SEP02024	Details ...	49	0.27984005	0.8997614	0.64721143	0.74978447	1.0	441	tags=27%, list=20%, signal=32%	
SEP00230	SEP00230	Details ...	47	0.25394192	0.8150169	0.7472067	0.8550203	1.0	251	tags=13%, list=11%, signal=14%	
SEP00020	SEP00020	Details ...	28	0.24817838	0.7356516	0.8505232	0.92941546	1.0	250	tags=11%, list=11%, signal=12%	
SEP00785	SEP00785		21	0.2551192	0.69152206	0.88328075	0.9354313	1.0	250	tags=14%, list=11%, signal=16%	
SEP02010	SEP02010		81	0.18406583	0.65136373	0.97290325	0.9275114	1.0	667	tags=33%, list=30%, signal=46%	
