TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0001510	"RNA methylation"	-1.76681178154007	5.406882371826676	0.8488413182958034	0.73417674434242	0.36798355	null
GO:0006082	"organic acid metabolic process"	-1.82875840702545	6.427206226819538	8.895121929802153	0.7712572913046669	0.45410345	null
GO:0006139	"nucleobase-containing compound metabolic process"	-1.59870010831574	6.851645187818115	23.636924490908086	0.69542608753876	0.32282979	null
GO:0006220	"pyrimidine nucleotide metabolic process"	-2.12972145232037	5.281608256234686	0.6361387139761323	0.707969183123661	0.33046938	null
GO:0006418	"tRNA aminoacylation for protein translation"	-2.26443565872308	5.466756438594257	0.974318159563009	0.5597799323151704	0	null
GO:0007049	"cell cycle"	-1.9106922	5.732215984404404	1.795399173617054	0.9835689366781365	0.01385137	null
GO:0008360	"regulation of cell shape"	-1.70964899354652	5.316303805920243	0.6890449444181898	0.9528808372868106	0.25398051	null
GO:0008610	"lipid biosynthetic process"	-1.64123020955769	5.9151491068615805	2.7358634658696603	0.804552018934248	0.28549922	null
GO:0009058	"biosynthetic process"	-1.33314212201595	6.928894185470589	28.23839282673206	0.9129687277138385	0.13256613	null
GO:0009059	"macromolecule biosynthetic process"	-2.06227637501805	6.661562823384344	15.258385035486357	0.6916578914113732	0.38451696	null
GO:0009451	"RNA modification"	-1.68805975850133	5.789904901949006	2.050454036972228	0.7060830973696034	0.48276415	null
GO:0010467	"gene expression"	-1.95358056350395	6.465111183714701	9.706370753664654	0.8100683989163121	0.16971132	null
GO:0019538	"protein metabolic process"	-1.67598383746184	6.7492881892860686	18.67385374490695	0.7367851545282241	0.29468075	null
GO:0022402	"cell cycle process"	-1.6981024	5.4672335778545404	0.9753891897530218	0.984774726085983	0.01274912	null
GO:0034660	"ncRNA metabolic process"	-1.86883885026023	6.054368647279385	3.769763500568378	0.6848907042943777	0.43734769	null
GO:0043170	"macromolecule metabolic process"	-1.87378260322114	7.061803881678349	38.34861513800723	0.8681477288550087	0.07772361	null
GO:0044085	"cellular component biogenesis"	-2.23628306710106	6.158985438645769	4.796572117984153	0.7802605018137954	0.0127473	null
GO:0046374	"teichoic acid metabolic process"	-2.1486268229707	3.805296916157985	0.021240990041681035	0.8159398179848202	0.44572652	null
GO:0046942	"carboxylic acid transport"	-1.5842506	5.40489868495043	0.844972970125043	1	0	null
GO:0051301	"cell division"	-1.7015750057777	5.619021290230797	1.3834583445093005	0.9841067990573731	0.01335803	null
GO:0065008	"regulation of biological quality"	-1.74199351815831	5.778342297928303	1.9965832141230166	0.9801370594003695	0	null
GO:0071554	"cell wall organization or biogenesis"	-2.19073556814695	5.5635332925219245	1.217525167213757	0.984357710771948	0.01312881	null
GO:0071840	"cellular component organization or biogenesis"	-2.38794172046397	6.453046668121093	9.440442605554349	0.9790530736324935	0.01811084	null
GO:1901137	"carbohydrate derivative biosynthetic process"	-2.15615602586805	6.1423994785563165	4.616841943085589	0.673293516735072	0.24725071	null
