sseqid	Description	HS1	HS2	HS3	A21	A22	B51	B52	C11	C12
SE_0010	F1613_RS02865	65	173	137	136	103	83	51	51	35
SE_0025	F1613_RS02950	9037	12302	13041	24743	17315	22944	3675	9939	12984
SE_0030	F1613_RS02975	9	20	24	14	10	13	20	1	7
SE_0035	pbp4	177	379	181	209	151	148	200	178	152
SE_0040	F1613_RS03025	5617	5646	3995	3606	4093	4848	3942	5659	5899
SE_0045	F1613_RS03050	25	78	39	84	77	65	41	93	40
SE_0050	F1613_RS03075	234	370	248	161	196	224	121	278	144
SE_0055	F1613_RS03100	16	26	12	7	10	7	17	4	2
SE_0060	F1613_RS03125	94	87	104	230	197	184	157	124	106
SE_0008	sph	293	521	524	204	194	214	205	224	329
SE_0070	F1613_RS03160	62	96	52	25	34	28	46	17	20
SE_0013	F1613_RS02880	31156	40442	33389	26238	27375	25191	41234	41616	34805
SE_0075	F1613_RS03185	365486	757004	355171	29650	31313	29583	226237	32981	51978
SE_0022	F1613_RS02935	2242	2449	1670	1196	1221	1226	1393	1235	1624
SE_0080	F1613_RS03210	11227	9736	9210	4983	16542	9149	46927	21382	29118
SE_0028	F1613_RS02965	276	582	338	209	203	199	288	255	126
SE_0033	F1613_RS02990	41	42	49	35	29	23	61	6	25
SE_0087	F1613_RS03245	119	220	162	136	151	102	78	107	136
SE_0038	F1613_RS03015	893	828	831	305	378	439	801	455	542
SE_0092	F1613_RS03270	709	713	933	3375	3463	3116	834	2878	1436
SE_0043	F1613_RS03040	4	7	4	28	13	20	3	5	4
SE_0097	F1613_RS03295	1582	1021	1701	15181	13021	13320	7561	15024	14226
SE_0048	F1613_RS03065	269	559	325	234	254	214	402	384	261
SE_0104	F1613_RS03325	3203	1234	1694	550	1128	2337	3608	735	748
SE_0053	F1613_RS03090	18	28	18	11	17	26	46	8	18
SE_0110	F1613_RS03360	4340	2440	2644	1108	3701	2501	11929	5789	6810
SE_0058	F1613_RS03115	285	246	287	505	539	495	610	253	267
SE_0116	F1613_RS03400	8	20	26	4	6	10	2	5	0
SE_0121	F1613_RS03425	207	225	210	388	389	602	392	666	264
SE_0068	F1613_RS03150	551	889	452	510	448	526	170	519	182
SE_0128	F1613_RS03455	1310	1246	1239	1315	1375	1500	887	1759	1506
SE_0078	F1613_RS03200	205	235	351	247	276	230	974	146	232
SE_0133	F1613_RS03475	261	431	442	427	362	363	265	228	235
SE_0083	F1613_RS03225	129	194	159	139	203	179	564	182	361
SE_0140	F1613_RS03510	300	634	313	134	148	167	129	165	118
SE_0090	F1613_RS03260	592	653	576	542	654	555	470	655	450
SE_0149	F1613_RS03550	1668	1447	1135	1236	969	1192	992	1130	876
SE_0095	F1613_RS03285	2318	1337	2690	27564	23032	24810	16847	27602	37951
SE_0154	F1613_RS03575	329	332	468	307	385	450	361	348	417
SE_0100	F1613_RS03310	259	282	234	419	377	359	93	337	143
SE_0168	F1613_RS12635	2105	2756	3865	1348	843	1197	801	754	523
SE_0113	F1613_RS03380	229	215	234	137	146	172	232	183	98
SE_0119	F1613_RS03415	34	36	29	36	42	57	41	77	65
SE_0180	bioA	79	135	110	122	116	149	18	106	75
SE_0124	F1613_RS12390	30130	45135	15576	10909	9309	19914	62424	23566	28489
SE_0189	F1613_RS03755	128	215	205	149	110	131	470	130	67
SE_0131	F1613_RS03465	1115	2117	1695	458	438	483	728	202	917
SE_0194	F1613_RS03770	2030	1990	2656	309	533	1400	2494	1785	1419
SE_0138	arsD	409	478	367	129	116	238	215	196	492
SE_0146	F1613_RS03535	835	991	938	1192	1185	1270	997	1408	1461
SE_0205	cntA	796	689	887	494	360	521	539	365	632
SE_0152	F1613_RS03565	633	531	754	486	538	683	716	596	1077
SE_0210	F1613_RS03840	426	406	469	217	206	246	289	191	261
SE_0011	F1613_RS02870	598	1102	541	91	109	157	819	236	268
SE_0218	F1613_RS03880	2082	2387	2639	1550	1556	1312	3100	1305	1174
SE_0020	F1613_RS02925	14621	14790	15539	10324	8952	10842	9976	11133	13242
SE_0164	uhpT	274	455	227	179	425	293	670	72	177
SE_0026	F1613_RS02955	644	890	900	1250	1301	1149	1221	858	827
SE_0224	F1613_RS03910	640	799	1030	215	262	256	281	187	161
SE_0232	F1613_RS03950	1132	1578	1832	4099	3378	5741	1259	4469	6841
SE_0031	F1613_RS02980	29	28	52	29	50	45	149	17	58
SE_0238	dhaM	13736	7512	7400	1923	2312	10114	9860	42812	23819
SE_0041	F1613_RS03030	6242	4768	3913	5973	5888	6585	9255	7108	7982
SE_0243	F1613_RS04005	15757	15832	16766	16477	16013	25966	15079	17814	29440
SE_0177	F1613_RS03700	496	516	675	222	173	159	587	194	211
SE_0248	F1613_RS04030	8271	10260	6930	2317	3273	3846	2600	5316	5448
SE_0046	F1613_RS03055	553	680	569	1184	931	1086	485	879	562
SE_0253	lpdA	174053	135772	129268	142115	137587	178453	201861	253250	449504
SE_0185	gehD	4405	3859	5088	6323	9892	11332	2089	4709	11891
SE_0258	F1613_RS04080	2954	4675	3831	570	664	671	3437	1110	1075
SE_0267	F1613_RS04125	647	558	783	351	339	313	579	393	318
SE_0198	F1613_RS03790	334	483	380	224	266	231	797	305	219
SE_0289	F1613_RS04240	15889	14298	17043	9143	9827	9530	13044	8084	10018
SE_0203	cntM	193	268	228	129	124	148	50	142	90
SE_0071	F1613_RS03165	591	839	745	490	478	450	591	646	487
SE_0071	F1613_RS12425	14453	20533	15679	17836	17279	16511	22521	18471	10061
SE_0071	F1613_RS12435	9315	12420	9766	12203	11814	10961	16091	12405	6716
SE_0305	F1613_RS04320	2524	2740	3280	13375	16953	10392	52468	5762	12043
SE_0208	F1613_RS03830	565	468	677	230	203	247	390	178	346
SE_0316	F1613_RS04375	123	79	73	98	110	84	79	53	33
SE_0213	F1613_RS03855	348	499	380	588	647	770	366	622	1218
SE_0081	merR	163	149	130	111	198	121	485	123	289
SE_0324	F1613_RS04415	1319	2001	1920	860	1070	583	1894	538	561
SE_0222	F1613_RS03900	177	394	339	148	116	164	146	119	142
SE_0227	F1613_RS03925	8455	6740	4905	1123	1400	3336	6960	6308	10430
SE_0329	F1613_RS04440	3637	3602	2954	3611	3295	3403	1308	3117	2387
SE_0093	F1613_RS03275	8340	5645	7302	3269	2880	3458	2944	4865	1916
SE_0236	dhaK	20592	11247	13775	2321	3358	14081	17142	65623	48764
SE_0241	F1613_RS03990	1002	652	1434	3835	5903	13112	30523	8788	8081
SE_0098	F1613_RS03300	288	132	165	1273	1198	1297	1037	1803	1326
SE_0105	arcD	11305	6121	8006	4261	8799	10541	20091	5464	6703
SE_0251	F1613_RS04045	469	786	562	379	440	354	470	589	398
SE_0362	mvaD	9951	11159	9762	13759	21157	11641	19876	8958	12136
SE_0111	F1613_RS03365	33	56	55	15	19	32	23	45	30
SE_0256	F1613_RS04070	2792	4122	2225	311	474	489	4468	341	2100
SE_0368	F1613_RS04635	3097	1674	1592	2215	1874	2336	2010	2795	1967
SE_0117	F1613_RS03405	105	87	149	122	139	252	283	316	419
SE_0374	larA	2390	3992	1692	1159	1217	1400	591	743	700
SE_0261	pcp	514	588	330	155	151	258	207	287	285
