uniprot_quickGO	Description	HS1	HS2	HS3	A21	A22	B51	B52	C11	C12
A0A0H2VDV9	F1613_RS02865	65	173	137	136	103	83	51	51	35
A0A0H2VDX0	F1613_RS02950	9037	12302	13041	24743	17315	22944	3675	9939	12984
A0A0H2VDX4	F1613_RS02975	9	20	24	14	10	13	20	1	7
A0A0H2VDX8	pbp4	177	379	181	209	151	148	200	178	152
A0A0H2VDY3	F1613_RS03025	5617	5646	3995	3606	4093	4848	3942	5659	5899
A0A0H2VDY7	F1613_RS03050	25	78	39	84	77	65	41	93	40
A0A0H2VDZ1	F1613_RS03075	234	370	248	161	196	224	121	278	144
A0A0H2VDZ4	F1613_RS03100	16	26	12	7	10	7	17	4	2
A0A0H2VE00	F1613_RS03125	94	87	104	230	197	184	157	124	106
A0A0H2VE03	sph	293	521	524	204	194	214	205	224	329
A0A0H2VE08	F1613_RS03160	62	96	52	25	34	28	46	17	20
A0A0H2VE09	F1613_RS02880	31156	40442	33389	26238	27375	25191	41234	41616	34805
A0A0H2VE12	F1613_RS03185	365486	757004	355171	29650	31313	29583	226237	32981	51978
A0A0H2VE13	F1613_RS02935	2242	2449	1670	1196	1221	1226	1393	1235	1624
A0A0H2VE16	F1613_RS03210	11227	9736	9210	4983	16542	9149	46927	21382	29118
A0A0H2VE18	F1613_RS02965	276	582	338	209	203	199	288	255	126
A0A0H2VE21	F1613_RS02990	41	42	49	35	29	23	61	6	25
A0A0H2VE22	F1613_RS03245	119	220	162	136	151	102	78	107	136
A0A0H2VE26	F1613_RS03015	893	828	831	305	378	439	801	455	542
A0A0H2VE27	F1613_RS03270	709	713	933	3375	3463	3116	834	2878	1436
A0A0H2VE31	F1613_RS03040	4	7	4	28	13	20	3	5	4
A0A0H2VE34	F1613_RS03295	1582	1021	1701	15181	13021	13320	7561	15024	14226
A0A0H2VE36	F1613_RS03065	269	559	325	234	254	214	402	384	261
A0A0H2VE39	F1613_RS03325	3203	1234	1694	550	1128	2337	3608	735	748
A0A0H2VE41	F1613_RS03090	18	28	18	11	17	26	46	8	18
A0A0H2VE45	F1613_RS03360	4340	2440	2644	1108	3701	2501	11929	5789	6810
A0A0H2VE48	F1613_RS03115	285	246	287	505	539	495	610	253	267
A0A0H2VE52	F1613_RS03400	8	20	26	4	6	10	2	5	0
A0A0H2VE56	F1613_RS03425	207	225	210	388	389	602	392	666	264
A0A0H2VE58	F1613_RS03150	551	889	452	510	448	526	170	519	182
A0A0H2VE63	F1613_RS03455	1310	1246	1239	1315	1375	1500	887	1759	1506
A0A0H2VE67	F1613_RS03200	205	235	351	247	276	230	974	146	232
A0A0H2VE68	F1613_RS03475	261	431	442	427	362	363	265	228	235
A0A0H2VE73	F1613_RS03225	129	194	159	139	203	179	564	182	361
A0A0H2VE74	F1613_RS03510	300	634	313	134	148	167	129	165	118
A0A0H2VE78	F1613_RS03260	592	653	576	542	654	555	470	655	450
A0A0H2VE80	F1613_RS03550	1668	1447	1135	1236	969	1192	992	1130	876
A0A0H2VE83	F1613_RS03285	2318	1337	2690	27564	23032	24810	16847	27602	37951
A0A0H2VE84	F1613_RS03575	329	332	468	307	385	450	361	348	417
A0A0H2VE88	F1613_RS03310	259	282	234	419	377	359	93	337	143
A0A0H2VE95	F1613_RS12635	2105	2756	3865	1348	843	1197	801	754	523
A0A0H2VE99	F1613_RS03380	229	215	234	137	146	172	232	183	98
A0A0H2VEA4	F1613_RS03415	34	36	29	36	42	57	41	77	65
A0A0H2VEA7	bioA	79	135	110	122	116	149	18	106	75
A0A0H2VEB1	F1613_RS12390	30130	45135	15576	10909	9309	19914	62424	23566	28489
A0A0H2VEB2	F1613_RS03755	128	215	205	149	110	131	470	130	67
A0A0H2VEB6	F1613_RS03465	1115	2117	1695	458	438	483	728	202	917
A0A0H2VEB8	F1613_RS03770	2030	1990	2656	309	533	1400	2494	1785	1419
A0A0H2VEC1	arsD	409	478	367	129	116	238	215	196	492
A0A0H2VEC6	F1613_RS03535	835	991	938	1192	1185	1270	997	1408	1461
A0A0H2VEC8	cntA	796	689	887	494	360	521	539	365	632
A0A0H2VED1	F1613_RS03565	633	531	754	486	538	683	716	596	1077
A0A0H2VED2	F1613_RS03840	426	406	469	217	206	246	289	191	261
A0A0H2VED4	F1613_RS02870	598	1102	541	91	109	157	819	236	268
A0A0H2VED6	F1613_RS03880	2082	2387	2639	1550	1556	1312	3100	1305	1174
A0A0H2VED8	F1613_RS02925	14621	14790	15539	10324	8952	10842	9976	11133	13242
A0A0H2VEE0	uhpT	274	455	227	179	425	293	670	72	177
A0A0H2VEE1	F1613_RS02955	644	890	900	1250	1301	1149	1221	858	827
A0A0H2VEE2	F1613_RS03910	640	799	1030	215	262	256	281	187	161
A0A0H2VEE8	F1613_RS03950	1132	1578	1832	4099	3378	5741	1259	4469	6841
A0A0H2VEE9	F1613_RS02980	29	28	52	29	50	45	149	17	58
A0A0H2VEF1	dhaM	13736	7512	7400	1923	2312	10114	9860	42812	23819
A0A0H2VEF3	F1613_RS03030	6242	4768	3913	5973	5888	6585	9255	7108	7982
A0A0H2VEF4	F1613_RS04005	15757	15832	16766	16477	16013	25966	15079	17814	29440
A0A0H2VEF6	F1613_RS03700	496	516	675	222	173	159	587	194	211
A0A0H2VEF8	F1613_RS04030	8271	10260	6930	2317	3273	3846	2600	5316	5448
A0A0H2VEF9	F1613_RS03055	553	680	569	1184	931	1086	485	879	562
A0A0H2VEG1	lpdA	174053	135772	129268	142115	137587	178453	201861	253250	449504
A0A0H2VEG3	gehD	4405	3859	5088	6323	9892	11332	2089	4709	11891
