NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0006164	GO:0006164	Details ...	42	-0.8866707	-2.4686365	0.0	0.0	0.0	80	tags=36%, list=4%, signal=36%	
GO:0009150	GO:0009150	Details ...	42	-0.89073086	-2.4683487	0.0	0.0	0.0	80	tags=33%, list=4%, signal=34%	
GO:0009259	GO:0009259	Details ...	44	-0.88347626	-2.453558	0.0	0.0	0.0	80	tags=32%, list=4%, signal=32%	
GO:0009152	GO:0009152	Details ...	40	-0.8986062	-2.4472513	0.0	0.0	0.0	80	tags=35%, list=4%, signal=36%	
GO:0009260	GO:0009260	Details ...	42	-0.8912284	-2.4434702	0.0	0.0	0.0	80	tags=33%, list=4%, signal=34%	
GO:0006163	GO:0006163	Details ...	45	-0.8747452	-2.4344134	0.0	0.0	0.0	120	tags=38%, list=5%, signal=39%	
GO:0009117	GO:0009117	Details ...	52	-0.8298131	-2.4070945	0.0	0.0	0.0	120	tags=31%, list=5%, signal=32%	
GO:0009165	GO:0009165	Details ...	42	-0.85934013	-2.3806024	0.0	0.0	0.0	80	tags=33%, list=4%, signal=34%	
GO:0072522	GO:0072522	Details ...	27	-0.9058551	-2.3298614	0.0	0.0	0.0	80	tags=52%, list=4%, signal=53%	
GO:0072521	GO:0072521	Details ...	31	-0.8880447	-2.3218324	0.0	0.0	0.0	120	tags=52%, list=5%, signal=54%	
GO:0009156	GO:0009156	Details ...	19	-0.94412714	-2.2708912	0.0	0.0	0.0	24	tags=63%, list=1%, signal=63%	
GO:0009168	GO:0009168	Details ...	19	-0.9387805	-2.2661755	0.0	0.0	0.0	24	tags=63%, list=1%, signal=63%	
GO:0016879	GO:0016879	Details ...	38	-0.81324023	-2.244685	0.0	0.0	0.0	13	tags=21%, list=1%, signal=21%	
GO:0009127	GO:0009127	Details ...	16	-0.9562112	-2.2317383	0.0	0.0	0.0	24	tags=75%, list=1%, signal=75%	
GO:0009167	GO:0009167	Details ...	17	-0.9556841	-2.2152593	0.0	0.0	0.0	24	tags=71%, list=1%, signal=71%	
GO:0016874	GO:0016874	Details ...	84	-0.69295675	-2.1021323	0.0	5.684156E-5	0.001	13	tags=10%, list=1%, signal=9%	
GO:0009069	GO:0009069	Details ...	18	-0.8249988	-1.9951127	0.0	5.7816337E-4	0.011	256	tags=72%, list=12%, signal=81%	
GO:0006520	GO:0006520	Details ...	109	-0.6173166	-1.9536619	0.0	0.0014827307	0.029	412	tags=34%, list=19%, signal=40%	
GO:1901605	GO:1901605	Details ...	84	-0.6319668	-1.9317029	0.0	0.0018783316	0.039	266	tags=25%, list=12%, signal=27%	
GO:0000096	GO:0000096	Details ...	16	-0.78462183	-1.8431259	0.0	0.008498391	0.176	303	tags=69%, list=14%, signal=79%	
GO:0009064	GO:0009064		39	-0.66149616	-1.8088578	0.0	0.014425122	0.286	110	tags=13%, list=5%, signal=13%	
GO:0019752	GO:0019752		138	-0.53660136	-1.7488542	0.0011454754	0.03411175	0.557	450	tags=36%, list=20%, signal=42%	
GO:0016810	GO:0016810		40	-0.64391696	-1.744552	0.0027855153	0.034385063	0.575	255	tags=23%, list=11%, signal=25%	
GO:0042364	GO:0042364		27	-0.67341655	-1.7305602	0.007751938	0.03858035	0.634	147	tags=30%, list=7%, signal=31%	
GO:0043436	GO:0043436		123	-0.53550744	-1.723933	0.0	0.04028633	0.664	450	tags=36%, list=20%, signal=42%	
GO:0006766	GO:0006766		28	-0.6711113	-1.7180998	0.0044313148	0.04167865	0.693	147	tags=29%, list=7%, signal=30%	
GO:0006767	GO:0006767		28	-0.6711113	-1.7091757	0.010086455	0.044436496	0.723	147	tags=29%, list=7%, signal=30%	
GO:0019438	GO:0019438		73	-0.5383497	-1.6352082	0.0051282053	0.095216714	0.95	412	tags=30%, list=19%, signal=36%	
GO:0006091	GO:0006091		24	-0.6556483	-1.6296809	0.021276595	0.09703316	0.96	297	tags=38%, list=13%, signal=43%	
GO:0016763	GO:0016763		17	-0.69369775	-1.6214409	0.031456955	0.10201802	0.97	66	tags=12%, list=3%, signal=12%	
GO:0006790	GO:0006790		40	-0.59503675	-1.6185606	0.017857144	0.101845235	0.971	254	tags=35%, list=11%, signal=39%	
GO:0046394	GO:0046394		91	-0.5199671	-1.6011685	0.008505468	0.116745636	0.985	412	tags=32%, list=19%, signal=38%	
GO:0016830	GO:0016830		23	-0.64756924	-1.5945972	0.019374069	0.11987566	0.986	253	tags=30%, list=11%, signal=34%	
GO:0006096	GO:0006096		19	-0.6618461	-1.588191	0.032407407	0.123602174	0.991	297	tags=37%, list=13%, signal=42%	
GO:0032555	GO:0032555		273	-0.45662144	-1.5815161	0.0	0.12803188	0.995	323	tags=18%, list=15%, signal=19%	
GO:0018130	GO:0018130		79	-0.5114407	-1.5808469	0.01494396	0.12512434	0.995	110	tags=10%, list=5%, signal=10%	
