NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:1990904	GO:1990904	Details ...	57	0.58672076	2.1488202	0.0	0.0012365592	0.001	535	tags=56%, list=24%, signal=72%	
GO:0003735	GO:0003735	Details ...	56	0.5962337	2.1419911	0.0	6.182796E-4	0.001	535	tags=57%, list=24%, signal=73%	
GO:0005198	GO:0005198	Details ...	57	0.57248414	2.096331	0.0	0.0016135043	0.004	535	tags=56%, list=24%, signal=72%	
GO:0019843	GO:0019843	Details ...	43	0.5888174	2.0235503	0.0	0.0071701235	0.023	535	tags=58%, list=24%, signal=75%	
GO:0015031	GO:0015031	Details ...	16	0.7342583	2.0088053	0.0028328612	0.006511843	0.025	310	tags=63%, list=14%, signal=72%	
GO:0003723	GO:0003723	Details ...	100	0.49596635	1.9946976	0.0	0.0065743714	0.03	559	tags=48%, list=25%, signal=61%	
GO:0045184	GO:0045184	Details ...	16	0.73425823	1.9646689	0.0	0.008539926	0.045	310	tags=63%, list=14%, signal=72%	
GO:0043043	GO:0043043	Details ...	99	0.45846608	1.8183439	0.0	0.04131969	0.231	535	tags=43%, list=24%, signal=55%	
GO:0006412	GO:0006412	Details ...	101	0.4509066	1.7829485	0.0	0.052849535	0.323	535	tags=43%, list=24%, signal=54%	
GO:0034470	GO:0034470	Details ...	51	0.49289083	1.7526526	0.0	0.06272628	0.408	602	tags=53%, list=27%, signal=71%	
GO:0008033	GO:0008033	Details ...	32	0.51809794	1.6745988	0.009933775	0.10897236	0.616	602	tags=53%, list=27%, signal=72%	
GO:0009451	GO:0009451	Details ...	40	0.48040572	1.659412	0.00990099	0.11387677	0.66	602	tags=50%, list=27%, signal=67%	
GO:0006396	GO:0006396	Details ...	42	0.49551594	1.6578263	0.0073260074	0.1068579	0.665	602	tags=52%, list=27%, signal=70%	
GO:0000049	GO:0000049	Details ...	25	0.54127645	1.6218864	0.009009009	0.12974168	0.76	620	tags=52%, list=28%, signal=71%	
GO:0015297	GO:0015297	Details ...	23	0.565259	1.6017991	0.018237082	0.1391649	0.805	268	tags=43%, list=12%, signal=49%	
GO:0003676	GO:0003676	Details ...	305	0.34150416	1.558522	0.0	0.17680508	0.901	517	tags=34%, list=23%, signal=38%	
GO:0004519	GO:0004519	Details ...	24	0.52148193	1.5411323	0.021084337	0.1858311	0.924	512	tags=46%, list=23%, signal=59%	
GO:0006400	GO:0006400	Details ...	25	0.5105669	1.5242509	0.020833334	0.19725417	0.954	602	tags=48%, list=27%, signal=65%	
GO:0016070	GO:0016070	Details ...	98	0.37722543	1.5130242	0.0	0.20039037	0.958	602	tags=45%, list=27%, signal=59%	
GO:0003924	GO:0003924	Details ...	16	0.552195	1.5078311	0.04909561	0.19701055	0.965	351	tags=38%, list=16%, signal=44%	
GO:0034660	GO:0034660		46	0.43853268	1.506343	0.008163265	0.18889631	0.966	602	tags=48%, list=27%, signal=64%	
GO:0022613	GO:0022613		25	0.49358281	1.5025959	0.04011461	0.18534228	0.968	772	tags=60%, list=35%, signal=91%	
GO:0010467	GO:0010467		166	0.34882748	1.485275	0.0	0.1990981	0.977	536	tags=38%, list=24%, signal=46%	
GO:0004518	GO:0004518		38	0.43894923	1.4796441	0.04779412	0.19695114	0.979	182	tags=24%, list=8%, signal=25%	
GO:0006399	GO:0006399		42	0.43622658	1.4689394	0.03649635	0.20172067	0.982	602	tags=45%, list=27%, signal=61%	
GO:0051301	GO:0051301		31	0.46754456	1.4551036	0.036923077	0.21221626	0.988	637	tags=48%, list=29%, signal=67%	
GO:0042254	GO:0042254		25	0.49358281	1.454124	0.040816326	0.20619294	0.99	772	tags=60%, list=35%, signal=91%	
GO:0005575	GO:0005575		112	0.35236746	1.4095153	0.0	0.2610071	0.997	535	tags=39%, list=24%, signal=49%	
GO:0043170	GO:0043170		323	0.30666095	1.4090755	0.0	0.2524768	0.997	656	tags=41%, list=30%, signal=50%	
GO:0019538	GO:0019538		169	0.32774466	1.3993566	0.0	0.25923464	0.997	543	tags=35%, list=24%, signal=43%	
GO:0090304	GO:0090304		184	0.31815684	1.3930753	0.0	0.25902104	0.997	618	tags=36%, list=28%, signal=46%	
GO:0006139	GO:0006139		155	0.3241734	1.3923879	0.009090909	0.2523182	0.997	624	tags=42%, list=28%, signal=54%	
GO:0006364	GO:0006364		21	0.4829717	1.3674405	0.08092485	0.28096715	0.999	772	tags=67%, list=35%, signal=101%	
GO:0007049	GO:0007049		33	0.4174521	1.3523171	0.09677419	0.29855263	0.999	637	tags=45%, list=29%, signal=63%	
GO:0043412	GO:0043412		48	0.38995445	1.3471208	0.09375	0.2976195	1.0	602	tags=44%, list=27%, signal=59%	
GO:0001510	GO:0001510		18	0.48234054	1.3443488	0.10755814	0.29368874	1.0	789	tags=67%, list=36%, signal=103%	
GO:0032561	GO:0032561		31	0.41890115	1.3425186	0.083850935	0.28903076	1.0	358	tags=29%, list=16%, signal=34%	
GO:0005525	GO:0005525		31	0.41890115	1.3417187	0.096345514	0.28308865	1.0	358	tags=29%, list=16%, signal=34%	
GO:0032991	GO:0032991		121	0.3253343	1.3355389	0.028169014	0.28555888	1.0	546	tags=39%, list=25%, signal=49%	
GO:0022604	GO:0022604		27	0.4288353	1.3329787	0.105714284	0.28212345	1.0	653	tags=52%, list=29%, signal=73%	
GO:0008360	GO:0008360		27	0.4288353	1.3196068	0.12612613	0.29772815	1.0	653	tags=52%, list=29%, signal=73%	
GO:0016903	GO:0016903		18	0.47285873	1.3188158	0.13736264	0.29174197	1.0	114	tags=11%, list=5%, signal=12%	
GO:0097159	GO:0097159		273	0.2818979	1.313234	0.0	0.29357237	1.0	398	tags=25%, list=18%, signal=26%	
GO:0140640	GO:0140640		81	0.33532363	1.3050753	0.06030151	0.2989709	1.0	617	tags=35%, list=28%, signal=46%	
GO:0055086	GO:0055086		39	0.39266667	1.2982563	0.104166664	0.30245376	1.0	355	tags=33%, list=16%, signal=39%	
GO:0006508	GO:0006508		43	0.38154668	1.2932296	0.08896797	0.30407843	1.0	299	tags=26%, list=13%, signal=29%	
GO:0015291	GO:0015291		36	0.3877865	1.2905505	0.11447811	0.3011537	1.0	268	tags=36%, list=12%, signal=40%	
GO:0004386	GO:0004386		17	0.4764985	1.2866877	0.17728531	0.30008072	1.0	571	tags=41%, list=26%, signal=55%	
GO:0140098	GO:0140098		58	0.35850766	1.2841988	0.10989011	0.29823697	1.0	503	tags=34%, list=23%, signal=43%	
GO:1901657	GO:1901657		15	0.4889415	1.2838827	0.16957606	0.2927845	1.0	173	tags=40%, list=8%, signal=43%	
GO:1901363	GO:1901363		273	0.2818979	1.2764826	0.018867925	0.29794872	1.0	398	tags=25%, list=18%, signal=26%	
GO:0009059	GO:0009059		225	0.28733444	1.2746707	0.014084507	0.2948769	1.0	656	tags=41%, list=30%, signal=53%	
GO:0140535	GO:0140535		17	0.46902204	1.2737341	0.18994413	0.29071024	1.0	324	tags=35%, list=15%, signal=41%	
GO:0045229	GO:0045229		34	0.38768488	1.2549175	0.11949685	0.3125313	1.0	653	tags=50%, list=29%, signal=70%	
GO:0071555	GO:0071555		34	0.38768488	1.2522539	0.13141026	0.31071043	1.0	653	tags=50%, list=29%, signal=70%	
GO:0009252	GO:0009252		21	0.43097022	1.2413626	0.17251462	0.3218018	1.0	653	tags=52%, list=29%, signal=73%	
GO:0016072	GO:0016072		17	0.46794432	1.2367321	0.19533528	0.32433867	1.0	772	tags=65%, list=35%, signal=98%	
GO:0006024	GO:0006024		21	0.43097022	1.2269706	0.21712539	0.33440593	1.0	653	tags=52%, list=29%, signal=73%	
GO:0006023	GO:0006023		21	0.43097022	1.2060149	0.20597015	0.3641913	1.0	653	tags=52%, list=29%, signal=73%	
GO:0006310	GO:0006310		43	0.35555905	1.1982937	0.20610687	0.371273	1.0	137	tags=14%, list=6%, signal=15%	
GO:0022402	GO:0022402		18	0.43445876	1.1727809	0.26610646	0.41077846	1.0	381	tags=28%, list=17%, signal=33%	
GO:0015144	GO:0015144		15	0.44351912	1.1671596	0.23033708	0.41463634	1.0	362	tags=27%, list=16%, signal=32%	
