NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SEP00230	SEP00230	Details ...	47	-0.83808184	-2.3544202	0.0	0.0	0.0	121	tags=38%, list=5%, signal=40%	
SEP00250	SEP00250	Details ...	19	-0.7416447	-1.7968919	0.0014880953	0.03400162	0.06	24	tags=16%, list=1%, signal=16%	
SEP00785	SEP00785	Details ...	21	-0.7224544	-1.7502667	0.006153846	0.0404207	0.102	22	tags=14%, list=1%, signal=14%	
SEP00220	SEP00220	Details ...	20	-0.7039097	-1.6860669	0.019817073	0.06409281	0.201	502	tags=45%, list=22%, signal=57%	
SEP00270	SEP00270	Details ...	24	-0.628833	-1.5730764	0.027777778	0.16486782	0.528	305	tags=50%, list=14%, signal=57%	
SEP00630	SEP00630	Details ...	23	-0.61474335	-1.5278283	0.040816326	0.19552161	0.655	22	tags=13%, list=1%, signal=13%	
SEP00400	SEP00400	Details ...	18	-0.64046574	-1.517182	0.038709678	0.18287496	0.686	387	tags=44%, list=17%, signal=53%	
SEP00770	SEP00770	Details ...	18	-0.6092061	-1.4652126	0.096	0.23892589	0.81	267	tags=33%, list=12%, signal=38%	
SEP00030	SEP00030	Details ...	21	-0.58365554	-1.4311981	0.074809164	0.25981975	0.874	583	tags=48%, list=26%, signal=64%	
SEP00680	SEP00680	Details ...	16	-0.60082215	-1.4032271	0.12140575	0.2749118	0.917	450	tags=50%, list=20%, signal=62%	
SEP00190	SEP00190	Details ...	24	-0.51925206	-1.2787122	0.20389806	0.4702876	0.992	512	tags=42%, list=23%, signal=53%	
SEP00650	SEP00650	Details ...	19	-0.5247092	-1.269923	0.21991085	0.44875357	0.993	582	tags=63%, list=26%, signal=85%	
SEP00260	SEP00260	Details ...	30	-0.47590223	-1.2399167	0.22272047	0.46897903	0.997	299	tags=30%, list=13%, signal=34%	
SEP02010	SEP02010	Details ...	81	-0.39521003	-1.2231884	0.18532339	0.46443796	0.998	199	tags=20%, list=9%, signal=21%	
SEP00010	SEP00010	Details ...	37	-0.45622468	-1.221826	0.22268327	0.43534598	0.998	852	tags=70%, list=38%, signal=111%	
SEP02020	SEP02020	Details ...	65	-0.35043502	-1.040433	0.3915276	0.7295013	1.0	722	tags=43%, list=32%, signal=62%	
SEP00640	SEP00640	Details ...	24	-0.38600418	-0.96385944	0.5251142	0.8370765	1.0	307	tags=21%, list=14%, signal=24%	
SEP00620	SEP00620	Details ...	47	-0.31970745	-0.91666955	0.5591398	0.8824017	1.0	504	tags=34%, list=22%, signal=43%	
SEP02024	SEP02024	Details ...	49	-0.31736568	-0.9018293	0.6185286	0.86429554	1.0	77	tags=10%, list=3%, signal=10%	
SEP00020	SEP00020	Details ...	28	-0.3497166	-0.8986011	0.5947522	0.827747	1.0	512	tags=39%, list=23%, signal=50%	
SEP00564	SEP00564		17	-0.384969	-0.8906713	0.58475894	0.80069286	1.0	346	tags=24%, list=15%, signal=28%	
SEP00552	SEP00552		23	-0.28934082	-0.72836584	0.8057554	1.0	1.0	724	tags=48%, list=32%, signal=70%	
SEP00561	SEP00561		19	-0.29666764	-0.7082698	0.82822084	1.0	1.0	524	tags=26%, list=23%, signal=34%	
SEP00061	SEP00061		15	-0.30446517	-0.70563084	0.8174603	0.98073125	1.0	259	tags=13%, list=12%, signal=15%	
SEP00970	SEP00970		28	-0.25199527	-0.6499267	0.8871201	1.0	1.0	581	tags=29%, list=26%, signal=38%	
SEP00240	SEP00240		26	-0.22163533	-0.56128395	0.9535232	1.0	1.0	654	tags=31%, list=29%, signal=43%	
SEP00520	SEP00520		20	-0.22189783	-0.54001045	0.976012	1.0	1.0	686	tags=30%, list=31%, signal=43%	
SEP00860	SEP00860		16	-0.20703867	-0.48608667	0.9755302	0.985596	1.0	570	tags=25%, list=25%, signal=33%	
